+----+-------------+------+-------+-----------+--------------------+
|    | #candidates | type | Total | IRV_Count |     Percentage     |
+----+-------------+------+-------+-----------+--------------------+
| 0  |      2      |  B   |  25   |     0     |        0.0         |
| 1  |      2      |  E   |   4   |     0     |        0.0         |
| 2  |      2      |  O   |   8   |     0     |        0.0         |
| 3  |      2      |  R   |  55   |     0     |        0.0         |
| 4  |      2      |  S   |  10   |     0     |        0.0         |
| 5  |      3      |  B   |  20   |     1     |        5.0         |
| 6  |      3      |  E   |   6   |     3     |        50.0        |
| 7  |      3      |  O   |   3   |     1     | 33.33333333333333  |
| 8  |      3      |  R   |  64   |    10     |       15.625       |
| 9  |      3      |  S   |   8   |     0     |        0.0         |
| 10 |      4      |  B   |  16   |     3     |       18.75        |
| 11 |      4      |  E   |   6   |     1     | 16.666666666666664 |
| 12 |      4      |  O   |   5   |     3     |        60.0        |
| 13 |      4      |  R   |  42   |     1     | 2.380952380952381  |
| 14 |      4      |  S   |   1   |     0     |        0.0         |
| 15 |      5      |  B   |   8   |     2     |        25.0        |
| 16 |      5      |  E   |   6   |     1     | 16.666666666666664 |
| 17 |      5      |  O   |   1   |     0     |        0.0         |
| 18 |      5      |  R   |  23   |     3     | 13.043478260869565 |
| 19 |      6      |  B   |   5   |     1     |        20.0        |
| 20 |      6      |  E   |   3   |     1     | 33.33333333333333  |
| 21 |      6      |  O   |   1   |     1     |       100.0        |
| 22 |      6      |  R   |  13   |     1     | 7.6923076923076925 |
| 23 |      7      |  B   |   7   |     1     | 14.285714285714285 |
| 24 |      7      |  E   |   4   |     0     |        0.0         |
| 25 |      7      |  R   |  11   |     5     | 45.45454545454545  |
| 26 |      8      |  B   |   4   |     0     |        0.0         |
| 27 |      8      |  E   |   3   |     1     | 33.33333333333333  |
| 28 |      8      |  R   |   8   |     2     |        25.0        |
| 29 |      9      |  B   |   4   |     2     |        50.0        |
| 30 |      9      |  E   |   1   |     0     |        0.0         |
| 31 |      9      |  R   |   3   |     0     |        0.0         |
| 32 |     10      |  B   |   1   |     1     |       100.0        |
| 33 |     10      |  E   |   4   |     1     |        25.0        |
| 34 |     10      |  O   |   1   |     0     |        0.0         |
| 35 |     11      |  B   |   1   |     1     |       100.0        |
| 36 |     11      |  E   |   4   |     0     |        0.0         |
| 37 |     11      |  R   |   1   |     0     |        0.0         |
| 38 |     12      |  E   |   2   |     0     |        0.0         |
| 39 |     12      |  R   |   3   |     0     |        0.0         |
| 40 |     13      |  B   |   1   |     0     |        0.0         |
| 41 |     13      |  E   |   1   |     0     |        0.0         |
| 42 |     13      |  R   |   1   |     1     |       100.0        |
| 43 |     14      |  B   |   2   |     0     |        0.0         |
| 44 |     15      |  R   |   1   |     0     |        0.0         |
| 45 |     16      |  E   |   2   |     0     |        0.0         |
| 46 |     18      |  E   |   2   |     0     |        0.0         |
| 47 |     21      |  B   |   1   |     0     |        0.0         |
| 48 |     22      |  B   |   1   |     0     |        0.0         |
| 49 |     29      |  B   |   1   |     0     |        0.0         |
| 50 |     35      |  E   |   1   |     0     |        0.0         |
| 51 |     66      |  E   |   1   |     0     |        0.0         |
+----+-------------+------+-------+-----------+--------------------+
