+----+-------------+-------------+
|    | #candidates | IRV_present |
+----+-------------+-------------+
| 0  |      2      |      0      |
| 1  |      3      |     15      |
| 2  |      4      |      9      |
| 3  |      5      |      6      |
| 4  |      6      |      3      |
| 5  |      7      |      4      |
| 6  |      8      |      1      |
| 7  |      9      |      1      |
| 8  |     10      |      1      |
| 9  |     11      |      1      |
| 10 |     12      |      0      |
| 11 |     13      |      1      |
| 12 |     14      |      0      |
| 13 |     15      |      0      |
| 14 |     16      |      0      |
| 15 |     18      |      0      |
| 16 |     21      |      0      |
| 17 |     22      |      0      |
| 18 |     29      |      0      |
| 19 |     35      |      0      |
| 20 |     66      |      0      |
+----+-------------+-------------+
