+----+-------------+---------+-------------+
|    | #candidates |  level  | IRV_present |
+----+-------------+---------+-------------+
| 0  |      2      |  LOCAL  |      0      |
| 1  |      2      |  STATE  |      0      |
| 2  |      3      | FEDERAL |      1      |
| 3  |      3      |  LOCAL  |     11      |
| 4  |      3      |  STATE  |      3      |
| 5  |      4      | FEDERAL |      0      |
| 6  |      4      |  LOCAL  |      8      |
| 7  |      4      |  STATE  |      1      |
| 8  |      5      |  LOCAL  |      6      |
| 9  |      6      |  LOCAL  |      3      |
| 10 |      7      |  LOCAL  |      4      |
| 11 |      7      |  STATE  |      0      |
| 12 |      8      | FEDERAL |      0      |
| 13 |      8      |  LOCAL  |      1      |
| 14 |      9      | FEDERAL |      0      |
| 15 |      9      |  LOCAL  |      1      |
| 16 |     10      | FEDERAL |      0      |
| 17 |     10      |  LOCAL  |      1      |
| 18 |     11      | FEDERAL |      0      |
| 19 |     11      |  LOCAL  |      1      |
| 20 |     12      |  LOCAL  |      0      |
| 21 |     13      |  LOCAL  |      1      |
| 22 |     14      |  LOCAL  |      0      |
| 23 |     15      |  LOCAL  |      0      |
| 24 |     16      |  LOCAL  |      0      |
| 25 |     18      |  LOCAL  |      0      |
| 26 |     21      |  LOCAL  |      0      |
| 27 |     22      |  LOCAL  |      0      |
| 28 |     29      |  LOCAL  |      0      |
| 29 |     35      |  LOCAL  |      0      |
| 30 |     66      |  LOCAL  |      0      |
+----+-------------+---------+-------------+
