+----+-------------+---------+-------+-----------+--------------------+
|    | #candidates |  level  | Total | IRV_Count |     Percentage     |
+----+-------------+---------+-------+-----------+--------------------+
| 0  |      2      |  LOCAL  |  72   |     0     |        0.0         |
| 1  |      2      |  STATE  |  30   |     0     |        0.0         |
| 2  |      3      | FEDERAL |   3   |     0     |        0.0         |
| 3  |      3      |  LOCAL  |  74   |    11     | 14.864864864864865 |
| 4  |      3      |  STATE  |  24   |     4     | 16.666666666666664 |
| 5  |      4      | FEDERAL |   4   |     1     |        25.0        |
| 6  |      4      |  LOCAL  |  62   |     7     | 11.29032258064516  |
| 7  |      4      |  STATE  |   4   |     0     |        0.0         |
| 8  |      5      | FEDERAL |   1   |     0     |        0.0         |
| 9  |      5      |  LOCAL  |  37   |     6     | 16.216216216216218 |
| 10 |      6      |  LOCAL  |  22   |     4     | 18.181818181818183 |
| 11 |      7      |  LOCAL  |  21   |     6     | 28.57142857142857  |
| 12 |      7      |  STATE  |   1   |     0     |        0.0         |
| 13 |      8      | FEDERAL |   1   |     0     |        0.0         |
| 14 |      8      |  LOCAL  |  14   |     3     | 21.428571428571427 |
| 15 |      9      | FEDERAL |   1   |     0     |        0.0         |
| 16 |      9      |  LOCAL  |   7   |     2     | 28.57142857142857  |
| 17 |     10      |  LOCAL  |   6   |     2     | 33.33333333333333  |
| 18 |     11      | FEDERAL |   3   |     0     |        0.0         |
| 19 |     11      |  LOCAL  |   3   |     1     | 33.33333333333333  |
| 20 |     12      |  LOCAL  |   5   |     0     |        0.0         |
| 21 |     13      |  LOCAL  |   3   |     1     | 33.33333333333333  |
| 22 |     14      |  LOCAL  |   2   |     0     |        0.0         |
| 23 |     15      |  LOCAL  |   1   |     0     |        0.0         |
| 24 |     16      |  LOCAL  |   2   |     0     |        0.0         |
| 25 |     18      |  LOCAL  |   2   |     0     |        0.0         |
| 26 |     21      |  LOCAL  |   1   |     0     |        0.0         |
| 27 |     22      |  LOCAL  |   1   |     0     |        0.0         |
| 28 |     29      |  LOCAL  |   1   |     0     |        0.0         |
| 29 |     35      |  LOCAL  |   1   |     0     |        0.0         |
| 30 |     66      |  LOCAL  |   1   |     0     |        0.0         |
+----+-------------+---------+-------+-----------+--------------------+
