+----+-------------+------+-------------+
|    | #candidates | type | IRV_present |
+----+-------------+------+-------------+
| 0  |      2      |  B   |      0      |
| 1  |      2      |  E   |      0      |
| 2  |      2      |  O   |      0      |
| 3  |      2      |  R   |      0      |
| 4  |      2      |  S   |      0      |
| 5  |      3      |  B   |      1      |
| 6  |      3      |  E   |      3      |
| 7  |      3      |  O   |      1      |
| 8  |      3      |  R   |     10      |
| 9  |      3      |  S   |      0      |
| 10 |      4      |  B   |      2      |
| 11 |      4      |  E   |      2      |
| 12 |      4      |  O   |      3      |
| 13 |      4      |  R   |      2      |
| 14 |      4      |  S   |      0      |
| 15 |      5      |  B   |      2      |
| 16 |      5      |  E   |      1      |
| 17 |      5      |  O   |      0      |
| 18 |      5      |  R   |      3      |
| 19 |      6      |  B   |      1      |
| 20 |      6      |  E   |      1      |
| 21 |      6      |  O   |      0      |
| 22 |      6      |  R   |      1      |
| 23 |      7      |  B   |      1      |
| 24 |      7      |  E   |      0      |
| 25 |      7      |  O   |      0      |
| 26 |      7      |  R   |      3      |
| 27 |      8      |  B   |      0      |
| 28 |      8      |  E   |      0      |
| 29 |      8      |  R   |      1      |
| 30 |      9      |  B   |      1      |
| 31 |      9      |  E   |      0      |
| 32 |      9      |  R   |      0      |
| 33 |     10      |  B   |      0      |
| 34 |     10      |  E   |      1      |
| 35 |     10      |  R   |      0      |
| 36 |     11      |  B   |      1      |
| 37 |     11      |  E   |      0      |
| 38 |     11      |  R   |      0      |
| 39 |     12      |  E   |      0      |
| 40 |     12      |  R   |      0      |
| 41 |     13      |  B   |      0      |
| 42 |     13      |  E   |      1      |
| 43 |     13      |  O   |      0      |
| 44 |     14      |  B   |      0      |
| 45 |     15      |  R   |      0      |
| 46 |     16      |  E   |      0      |
| 47 |     18      |  B   |      0      |
| 48 |     21      |  B   |      0      |
| 49 |     22      |  B   |      0      |
| 50 |     29      |  B   |      0      |
| 51 |     35      |  B   |      0      |
| 52 |     66      |  R   |      0      |
+----+-------------+------+-------------+
