Jurisdiction,State,Year,Election Date,Office,RCV Type,Number of Winners,Tabulations,Number of Candidates,Number of Rounds,Winners,Winning Vote Threshold,Total Ballots Cast,First Round Active Votes,Final Round Active Votes,First Round Undervotes,First Round Overvotes,,Total Ballots with Overvotes,Inactive by Overvote,Inactive by Skipped Rankings,Inactive by Abstention,Inactive by Ranking Limit,Total Inactive,Fully Ranked Ballots,Ballots With 2+ Rankings,Ballots with Duplicate Rankings,Ballots with Skipped Rankings,Consensus Value,Contest Rank Limit,Ballot Style,Ballot Marking Style,Voting Equipment Used,CVR Available?,RaceID,Number of exhausted ballots,% ballots exhausted,second measure,ranking limit?
Arlington,VA,2023,6/20/2023,"County Board, Democratic Primary",stv_fractional_ballot,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palm Desert,CA,2022,11/8/2022,City Council District 2,stv_fractional_ballot,2,1,5,4,"Jan C. Harnik, Evan Trubee",5393,17857,16177,15509,1324,356,2.0%,381,,,,,,,,,,,Unknown,Unknown,Unknown,Unknown,N,,668,0.04129319404,,no
Albany,CA,2022,11/8/2022,City Council,stv_fractional_ballot,2,1,5,5,"JOHN ANTHONY MIKI, ROBIN D  LOPEZ",2387,7269,7159,6279.756,0,98,1.3%,203,34,0,845,0,879,3797,6680,212,57,91.7,5,Grid,Oval,Dominion ImageCast,Y,Albany_11082022_CityCouncil,879.244,0.1228165945,,no
Albany,CA,2022,11/8/2022,School Board,stv_fractional_ballot,3,1,4,2,"RON ROSENBAUM, SADIA KHAN, BECKY HOPWOOD",1618,6537,6470,6158.486,0,55,0.8%,117,13,0,298,0,312,3184,5594,160,119,99.7,5,Grid,Oval,Dominion ImageCast,Y,Albany_11082022_BoardofEducation,311.514,0.04814744977,,no
Arden,DE,2022,11/8/2022,Board of Assessors,stv_whole_ballot,7,1,14,,"Deborah Rciard, Elizabeth Varley, Brooke Bovard, Denis O'Regan, Tom Wheeler, Vicki Scott, Shana Pinter",,,,,,,#DIV/0!,,,,,,,,,,,,20,Box,Handwritten numerals,Hand count,N,,0,#DIV/0!,,no
Eastpointe,MI,2021,11/2/2021,City Council,stv_fractional_ballot,2,1,6,5,"Cardi DeMonaco Jr., Rob Baker",1268,3916,3803,3448.388,85,26,0.7%,45,6,1,247,41,355,1815,3206,220,21,82.6,10,Grid,Oval,Dominion ImageCast,Y,Eastpointe_11022021_CityCouncil,354.612,0.09324533263,,no
Minneapolis,MN,2021,11/2/2021,Board of Estimate and Taxation At Large,stv_fractional_ballot,2,1,4,5,"Steve Brandt, Samantha ""Sam"" Pree-Stinson",31876,145337,95625,74760.2,49668,89,0.1%,128,0,0,20865,0,20865,34652,55350,2581,241,91.5,3,Columns,Oval,ES&S: DS200s/DS850/AutoMARK,Y,Minneapolis_11022021_BoardofEstimateandTaxationAtLarge,20864.8,0.2181939869,,yes
Minneapolis,MN,2021,11/2/2021,Park Board At Large,stv_fractional_ballot,3,1,7,8,"Meg Forney, ToMOlsen, Alicia D. Smith",26663,145337,106650,77575.39,38554,208,0.1%,271,0,0,17844,11231,29075,59589,75910,2241,164,84.9,3,Columns,Oval,ES&S: DS200s/DS850/AutoMARK,Y,Minneapolis_11022021_ParkBoardAtLarge,29074.61,0.2726170652,,yes
Cambridge,MA,2021,11/2/2021,School Committee,stv_whole_ballot,6,1,9,8,"Wilson, Ayesha, Fantini, Alfred B., Bhambi, Akriti, Weinstein, Rachel B. ,Rojas Villarreal, José Luis, Weinstein, David J.",2860,21841,20017,19313,1756,,0.0%,,0,0,704,0,704,2942,17455,116,,97.3,15,Grid,Oval,Dominion ImageCast,N,Cambridge_11022021_SchoolCommittee_tab1,704,0.03517010541,,no
Cambridge,MA,2021,11/2/2021,City Council,stv_whole_ballot,9,1,19,12,"Siddiqui, Sumbul, Simmons, E. Denise, Nolan, Patricia M., Carlone, Dennis J., McGovern, Marc C., Zondervan, Quinton Y., Azeem, Burhan, Mallon, Alanna M., Toner, Paul F.",2182,22074,21814,21207,185,,0.0%,,0,0,607,0,607,1754,20521,211,,96.2,15,Grid,Oval,Dominion ImageCast,N,Cambridge_11022021_CityCouncil_tab1,607,0.02782616668,,no
