Jurisdiction,State,Year,Election Date,Office,Winner,Special Election?,Incumbent,Number of candidates,Number of rounds,Total ballots cast,First round active votes,Final round active votes,First round vote for winner,First round percent for winner,First round place for winner,Final round votes for winner,Final round percent for winner,Winner's consensus value,Winner's Final Round Votes as Percent of First Round Valid Votes,Fully ranked ballots,Ballots with 2+ Rankings,Ballots Ranking the Winner,First Round Undervote,First Round Overvotes,Total Ballots with Overvotes,Inactive by Overvote,Inactive by Skipped Rankings,Inactive by Abstention,inactive by overvote + skip,Inactive by ranking limit,Total Inactive,Includes duplicate rankings,Includes skipped rankings,Turnout Percent (percent of registered),Registered Voters in Jurisdiction,Condorcet winner?,Come FroMBehind Winner?,Number of Rankings Permitted,Ballot Style,Ballot Marking Style,Voting Equipment Used,Link to full results,CVR Available?,Notes,RaceID
Portland,ME,2022,11/8/2022,School Board At-Large Seat 2,"Grant, Benjamin K.",N,Incumbent,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,ME,2022,11/8/2022,School Board At-Large Seat 1,"Lentz, Sarah M",N,Incumbent,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,ME,2022,6/14/2022,School Board At-Large Seat 1,"Lentz, Sarah M",Y,OpenSeat,7,6,9460,8902,7334,3268,45%,1,4045,55%,0.637,45%,1583,8167,,473,122,166,0,0,1520,,48,1568,154,148,,,Y,N,,,,,Link,Y,,Portland_06142022_SchoolBoardAtLarge_tab1
Portland,ME,2022,6/14/2022,School Board At-Large Seat 2,"Grant, Benjamin K.",Y,OpenSeat,6,1,9460,8773,8773,4870,56%,1,4870,56%,0.669,56%,1583,8167,,473,122,166,0,0,0,,0,0,154,148,,,Y,N,,,,,Link,Y,,Portland_06142022_SchoolBoardAtLarge_tab2
Moab City ,UT,2021,11/2/2021,City Council Seat 1,Jason Taylor,N,OpenSeat,6,5,1847,1803,1734,694,38%,1,896,52%,0.64615,50%,99,1670,1323,16,21,38,2,15,52,2.06%,0,69,39,499,,,Y,N,6,,,,Link,Y,,Moab_11022021_CityCouncil
Moab City ,UT,2021,11/2/2021,City Council Seat 2 ,Luke Wojciechowski,N,OpenSeat,6,4,1847,1697,1667,584,34%,1,1059,64%,0.70124,62%,99,1670,1277,16,21,38,2,17,11,2.17%,0,30,39,499,,,Y,N,6,,,,Link,Y,,Moab_11022021_CityCouncil
Genola,UT,2021,11/2/2021,City Council 1st Seat,HALE ROBISON,N,Challenger,3,1,393,337,337,180,53%,1,180,53%,0.85757,53%,314,346,289,9,6,6,0,0,0,1.53%,0,0,6,134,,,Y,N,4,,,,Link,Y,,Genola_11022021_CityCouncil
Genola,UT,2021,11/2/2021,City Council 2nd Seat,GRANT LUNDBERG,N,Challenger,3,1,393,296,296,163,55%,1,163,55%,0.86149,55%,314,346,255,9,6,6,0,0,0,1.53%,0,0,6,134,,,Y,N,4,,,,Link,Y,,Genola_11022021_CityCouncil
Lehi,UT,2021,11/2/2021,City Council 1st Seat,CHRIS CONDIE,N,Incumbent ,9,8,11471,10902,10347,2300,21%,1,6155,59%,0.4823,59%,7058,10709,9195,269,286,378,14,63,478,3.16%,0,555,338,246,,,Y,N,9,,,,Link,Y,,Lehi_11022021_CityCouncil
Lehi,UT,2021,11/2/2021,City Council 2nd Seat,PAUL HANCOCK,N,Incumbent ,9,7,11471,10841,10283,2986,28%,1,5859,57%,0.46379,57%,7058,10709,9118,269,286,378,14,56,488,3.10%,0,558,338,246,,,Y,N,9,,,,Link,Y,,Lehi_11022021_CityCouncil
