BallotType,BatchId,CountingGroup,CvrNumber,ImprintedId,PrecinctPortion,RecordId,TabulatorNum,rank1,rank2,rank3,rank4,rank5
8 (8),18,Vote by Mail,1,1014-18-567,260100 (0055),567,1014,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,2,1014-18-562,260100 (0055),562,1014,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,3,1014-18-442,260100 (0055),442,1014,JENNIFER HANSEN ROMERO,skipped,skipped,skipped,skipped
8 (8),18,Vote by Mail,4,1014-18-437,260100 (0055),437,1014,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,5,1014-18-432,260100 (0055),432,1014,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,6,1014-18-320,260100 (0055),320,1014,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,NICK PILCH,skipped,skipped
8 (8),18,Vote by Mail,7,1014-18-315,260100 (0055),315,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JENNIFER HANSEN ROMERO,skipped,skipped
8 (8),18,Vote by Mail,8,1014-18-255,260100 (0055),255,1014,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,NICK PILCH,JOHN ANTHONY MIKI
8 (8),18,Vote by Mail,9,1014-18-188,260100 (0055),188,1014,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH
8 (8),18,Vote by Mail,10,1014-18-183,260100 (0055),183,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,11,1014-18-154,260100 (0055),154,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,12,1014-18-115,260100 (0055),115,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,13,1014-18-90,260100 (0055),90,1014,JOHN ANTHONY MIKI,NICK PILCH,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,JEREMIAH GARRETT PINGUELO
8 (8),18,Vote by Mail,14,1014-18-25,260100 (0055),25,1014,JENNIFER HANSEN ROMERO,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,NICK PILCH,ROBIN D  LOPEZ
8 (8),18,Vote by Mail,15,1014-18-15,260100 (0055),15,1014,ROBIN D  LOPEZ,JENNIFER HANSEN ROMERO,skipped,skipped,skipped
8 (8),18,Vote by Mail,16,1014-18-547,260100 (0055),547,1014,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,NICK PILCH,NICK PILCH
8 (8),18,Vote by Mail,17,1014-18-451,260100 (0055),451,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,NICK PILCH,JENNIFER HANSEN ROMERO,skipped
8 (8),18,Vote by Mail,18,1014-18-447,260100 (0055),447,1014,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,skipped,skipped,skipped
8 (8),18,Vote by Mail,19,1014-18-341,260100 (0055),341,1014,JOHN ANTHONY MIKI,ROBIN D  LOPEZ,NICK PILCH,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,20,1014-18-340,260100 (0055),340,1014,JENNIFER HANSEN ROMERO,ROBIN D  LOPEZ,JEREMIAH GARRETT PINGUELO,NICK PILCH,JOHN ANTHONY MIKI
8 (8),18,Vote by Mail,21,1014-18-65,260100 (0055),65,1014,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO,JENNIFER HANSEN ROMERO
8 (8),18,Vote by Mail,22,1014-18-10,260100 (0055),10,1014,NICK PILCH,ROBIN D  LOPEZ,JOHN ANTHONY MIKI,JEREMIAH GARRETT PINGUELO,JENNIFER HANSEN ROMERO
