rank1,rank2,rank3,rank4,rank5
Hinda Miller,Kevin Curley,Louie the Cowman Beaudin,skipped,skipped
Bob Kiss,Hinda Miller,Loyal Ploof,skipped,skipped
Hinda Miller,Bob Kiss,skipped,skipped,skipped
Bob Kiss,Hinda Miller,skipped,skipped,skipped
Bob Kiss,Hinda Miller,Louie the Cowman Beaudin,skipped,skipped
Bob Kiss,Hinda Miller,skipped,skipped,skipped
Loyal Ploof,Louie the Cowman Beaudin,Kevin Curley,Hinda Miller,Bob Kiss
Bob Kiss,Hinda Miller,Kevin Curley,skipped,skipped
Bob Kiss,Hinda Miller,Louie the Cowman Beaudin,skipped,skipped
Hinda Miller,Bob Kiss,Louie the Cowman Beaudin,Kevin Curley,Loyal Ploof
Hinda Miller,skipped,skipped,skipped,skipped
Bob Kiss,Hinda Miller,Kevin Curley,skipped,skipped
Bob Kiss,Kevin Curley,Hinda Miller,Loyal Ploof,Louie the Cowman Beaudin
Hinda Miller,Bob Kiss,Kevin Curley,skipped,skipped
Bob Kiss,skipped,skipped,skipped,skipped
Hinda Miller,Bob Kiss,Kevin Curley,Loyal Ploof,Louie the Cowman Beaudin
Kevin Curley,skipped,skipped,skipped,skipped
Kevin Curley,skipped,skipped,skipped,skipped
Bob Kiss,Hinda Miller,Kevin Curley,skipped,skipped
Bob Kiss,Loyal Ploof,Hinda Miller,skipped,skipped
Kevin Curley,Louie the Cowman Beaudin,Loyal Ploof,skipped,skipped
Bob Kiss,skipped,skipped,skipped,skipped
Hinda Miller,Bob Kiss,Kevin Curley,Louie the Cowman Beaudin,Write-Ins
Bob Kiss,Kevin Curley,skipped,skipped,skipped
Hinda Miller,Kevin Curley,Bob Kiss,Louie the Cowman Beaudin,Loyal Ploof
Hinda Miller,Bob Kiss,Kevin Curley,Loyal Ploof,skipped
Hinda Miller,Bob Kiss,Kevin Curley,Louie the Cowman Beaudin,Loyal Ploof
Kevin Curley,Bob Kiss,Loyal Ploof,skipped,skipped
Bob Kiss,skipped,skipped,skipped,skipped
Bob Kiss,skipped,skipped,skipped,skipped
Bob Kiss,Hinda Miller,skipped,skipped,skipped
Kevin Curley,skipped,skipped,skipped,skipped
Hinda Miller,Bob Kiss,skipped,skipped,skipped
Bob Kiss,skipped,skipped,skipped,skipped
Bob Kiss,skipped,skipped,skipped,skipped
Hinda Miller,Louie the Cowman Beaudin,Loyal Ploof,Bob Kiss,Kevin Curley
Bob Kiss,Hinda Miller,Louie the Cowman Beaudin,skipped,skipped
Bob Kiss,Hinda Miller,skipped,skipped,skipped
