index,rank1,rank2,rank3,rank4
1,undervote,undervote,undervote,undervote
2,undervote,undervote,undervote,undervote
3,undervote,undervote,undervote,undervote
4,undervote,undervote,undervote,undervote
5,undervote,undervote,undervote,undervote
6,undervote,undervote,undervote,undervote
7,undervote,undervote,undervote,undervote
8,undervote,undervote,undervote,undervote
9,undervote,undervote,undervote,undervote
10,undervote,undervote,undervote,undervote
11,undervote,undervote,undervote,undervote
12,undervote,undervote,undervote,undervote
13,undervote,undervote,undervote,undervote
14,undervote,undervote,undervote,undervote
15,undervote,undervote,undervote,undervote
16,undervote,undervote,undervote,undervote
17,undervote,undervote,undervote,undervote
18,undervote,undervote,undervote,undervote
19,undervote,undervote,undervote,undervote
20,undervote,undervote,undervote,undervote
21,undervote,undervote,undervote,undervote
22,undervote,undervote,undervote,undervote
23,undervote,undervote,undervote,undervote
24,undervote,undervote,undervote,undervote
25,undervote,undervote,undervote,undervote
26,undervote,undervote,undervote,undervote
27,undervote,undervote,undervote,undervote
28,undervote,undervote,undervote,undervote
29,undervote,undervote,undervote,undervote
30,undervote,undervote,undervote,undervote
31,undervote,undervote,undervote,undervote
32,undervote,undervote,undervote,undervote
33,undervote,undervote,undervote,undervote
34,undervote,undervote,undervote,undervote
35,undervote,undervote,undervote,undervote
36,undervote,undervote,undervote,undervote
37,undervote,undervote,undervote,undervote
38,undervote,undervote,undervote,undervote
39,undervote,undervote,undervote,undervote
40,undervote,undervote,undervote,undervote
41,undervote,undervote,undervote,undervote
42,undervote,undervote,undervote,undervote
43,undervote,undervote,undervote,undervote
44,undervote,undervote,undervote,undervote
45,undervote,undervote,undervote,undervote
46,undervote,undervote,undervote,undervote
47,undervote,undervote,undervote,undervote
48,undervote,undervote,undervote,undervote
49,undervote,undervote,undervote,undervote
50,undervote,undervote,undervote,undervote
51,undervote,undervote,undervote,undervote
52,undervote,undervote,undervote,undervote
53,undervote,undervote,undervote,undervote
54,undervote,undervote,undervote,undervote
55,undervote,ERIC K. BERZINS,undervote,undervote
56,undervote,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote
57,undervote,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote
58,undervote,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote
59,undervote,ERIC K. BERZINS,NICOLE M. LACHAPELLE,undervote
60,undervote,ERIC K. BERZINS,KEITH M. ROUTHIER,undervote
61,undervote,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE
62,undervote,ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE
63,undervote,NICOLE M. LACHAPELLE,undervote,undervote
64,undervote,NICOLE M. LACHAPELLE,ERIC K. BERZINS,KEITH M. ROUTHIER
65,undervote,KEITH M. ROUTHIER,ERIC K. BERZINS,undervote
66,undervote,KEITH M. ROUTHIER,ERIC K. BERZINS,NICOLE M. LACHAPELLE
67,ERIC K. BERZINS,undervote,undervote,undervote
68,ERIC K. BERZINS,undervote,undervote,undervote
69,ERIC K. BERZINS,undervote,undervote,undervote
70,ERIC K. BERZINS,undervote,undervote,undervote
71,ERIC K. BERZINS,undervote,undervote,undervote
72,ERIC K. BERZINS,undervote,undervote,undervote
73,ERIC K. BERZINS,undervote,undervote,undervote
74,ERIC K. BERZINS,undervote,undervote,undervote
75,ERIC K. BERZINS,undervote,undervote,undervote
76,ERIC K. BERZINS,undervote,undervote,undervote
77,ERIC K. BERZINS,undervote,undervote,undervote
78,ERIC K. BERZINS,undervote,undervote,undervote
79,ERIC K. BERZINS,undervote,undervote,undervote
80,ERIC K. BERZINS,undervote,undervote,undervote
81,ERIC K. BERZINS,undervote,undervote,undervote
82,ERIC K. BERZINS,undervote,undervote,undervote
83,ERIC K. BERZINS,undervote,undervote,undervote
84,ERIC K. BERZINS,undervote,undervote,undervote
85,ERIC K. BERZINS,undervote,undervote,undervote
86,ERIC K. BERZINS,undervote,undervote,undervote
87,ERIC K. BERZINS,undervote,undervote,undervote
88,ERIC K. BERZINS,undervote,undervote,undervote
89,ERIC K. BERZINS,undervote,undervote,undervote
90,ERIC K. BERZINS,undervote,undervote,undervote
91,ERIC K. BERZINS,undervote,undervote,undervote
92,ERIC K. BERZINS,undervote,undervote,undervote
93,ERIC K. BERZINS,undervote,undervote,undervote
94,ERIC K. BERZINS,undervote,undervote,undervote
95,ERIC K. BERZINS,undervote,undervote,undervote
96,ERIC K. BERZINS,undervote,undervote,undervote
97,ERIC K. BERZINS,undervote,undervote,undervote
98,ERIC K. BERZINS,undervote,undervote,undervote
99,ERIC K. BERZINS,undervote,undervote,undervote
100,ERIC K. BERZINS,undervote,undervote,undervote
101,ERIC K. BERZINS,undervote,undervote,undervote
102,ERIC K. BERZINS,undervote,undervote,undervote
103,ERIC K. BERZINS,undervote,undervote,undervote
104,ERIC K. BERZINS,undervote,undervote,undervote
105,ERIC K. BERZINS,undervote,undervote,undervote
106,ERIC K. BERZINS,undervote,undervote,undervote
107,ERIC K. BERZINS,undervote,undervote,undervote
108,ERIC K. BERZINS,undervote,undervote,undervote
109,ERIC K. BERZINS,undervote,undervote,undervote
110,ERIC K. BERZINS,undervote,undervote,undervote
111,ERIC K. BERZINS,undervote,undervote,undervote
