Cast Vote Record,Precinct,Ballot Style,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
22,Portland Absentee,Ballot Style 4,overvote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
23,Portland Absentee,Ballot Style 3,"Buxton, Catherine A.","Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
24,Portland Absentee,Ballot Style 1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
25,Portland Absentee,Ballot Style 5,"Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Washburn, Patricia J.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote
26,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
27,Portland Absentee,Ballot Style 5,"Sheikh-Yousef, Nasreen A.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
28,Portland Absentee,Ballot Style 4,"Condrey, Lawson T.","Chann, Marpheen S.","Grant, Benjamin K.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
29,Portland Absentee,Ballot Style 3,"Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Grant, Benjamin K.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
30,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
31,Portland Absentee,Ballot Style 2,undervote,overvote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
32,Portland Absentee,Ballot Style 1,"Chann, Marpheen S.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
33,Portland Absentee,Ballot Style 4,"Grant, Benjamin K.","Condrey, Lawson T.","Chann, Marpheen S.","Washburn, Patricia J.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote
34,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","Buxton, Catherine A.","Houseal, Ian P.","Condrey, Lawson T.","Emerson, Anthony M.","Bailey, William M.","DiMillo, Steven A.",undervote,undervote,undervote,undervote
35,Portland Absentee,Ballot Style 5,"Chann, Marpheen S.","Grant, Benjamin K.","Houseal, Ian P.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Emerson, Anthony M.",undervote,"Bailey, William M.","DiMillo, Steven A.",undervote
36,Portland Absentee,Ballot Style 2,"Houseal, Ian P.","Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
37,Portland Absentee,Ballot Style 3,"Chann, Marpheen S.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
38,Portland Absentee,Ballot Style 4,"Bailey, William M.","DiMillo, Steven A.","Houseal, Ian P.","Grant, Benjamin K.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
39,Portland Absentee,Ballot Style 3,"Buxton, Catherine A.","Emerson, Anthony M.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
40,Portland Absentee,Ballot Style 3,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.",undervote,undervote,undervote,undervote,undervote,undervote
41,Portland Absentee,Ballot Style 2,"Chann, Marpheen S.","Grant, Benjamin K.","Condrey, Lawson T.","Sheikh-Yousef, Nasreen A.","Buxton, Catherine A.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote
42,Portland Absentee,Ballot Style 1,"Bailey, William M.","Buxton, Catherine A.","Grant, Benjamin K.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
43,Portland Absentee,Ballot Style 2,"DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
44,Portland Absentee,Ballot Style 3,"Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.","Houseal, Ian P.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
45,Portland Absentee,Ballot Style 1,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Grant, Benjamin K.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
46,Portland Absentee,Ballot Style 3,"DiMillo, Steven A.","Bailey, William M.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
47,Portland Absentee,Ballot Style 5,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Chann, Marpheen S.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
48,Portland Absentee,Ballot Style 3,"Grant, Benjamin K.","Chann, Marpheen S.","Buxton, Catherine A.","Sheikh-Yousef, Nasreen A.","Condrey, Lawson T.","Washburn, Patricia J.","Emerson, Anthony M.",undervote,undervote,undervote,undervote
49,Portland Absentee,Ballot Style 4,"Chann, Marpheen S.","Sheikh-Yousef, Nasreen A.","Emerson, Anthony M.","Grant, Benjamin K.","Buxton, Catherine A.","Condrey, Lawson T.","DiMillo, Steven A.","Washburn, Patricia J.","Houseal, Ian P.",undervote,undervote
50,Portland Absentee,Ballot Style 5,"Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.","Emerson, Anthony M.","Condrey, Lawson T.","Grant, Benjamin K.","Houseal, Ian P.","Chann, Marpheen S.","DiMillo, Steven A.","Bailey, William M.",undervote
51,Portland Absentee,Ballot Style 4,"Grant, Benjamin K.","Chann, Marpheen S.","DiMillo, Steven A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote,undervote
52,Portland Absentee,Ballot Style 2,"Grant, Benjamin K.","Sheikh-Yousef, Nasreen A.","Washburn, Patricia J.","Buxton, Catherine A.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
53,Portland Absentee,Ballot Style 5,"DiMillo, Steven A.","Bailey, William M.","Houseal, Ian P.","Chann, Marpheen S.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
54,Portland Absentee,Ballot Style 4,"DiMillo, Steven A.","Buxton, Catherine A.","Bailey, William M.","Emerson, Anthony M.",undervote,undervote,undervote,undervote,undervote,undervote,undervote
