ballotID,ward,rank1,rank2,rank3,rank4
1,600,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
2,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
3,200,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
4,600,Talisha Searcy,Jarrett Smith,skipped,skipped
5,200,Seth Grimes,skipped,skipped,skipped
6,200,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
7,400,Talisha Searcy,Talisha Searcy,skipped,skipped
8,400,Talisha Searcy,skipped,skipped,skipped
9,400,Talisha Searcy,Seth Grimes,skipped,skipped
10,500,Talisha Searcy,Seth Grimes,skipped,skipped
11,200,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
12,200,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
13,200,Seth Grimes,skipped,skipped,skipped
14,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
15,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
16,200,Talisha Searcy,Seth Grimes,skipped,skipped
17,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
18,400,Talisha Searcy,skipped,skipped,skipped
19,100,Jarrett Smith,Talisha Searcy,skipped,skipped
20,200,Seth Grimes,skipped,skipped,skipped
21,600,Talisha Searcy,skipped,skipped,skipped
22,100,Seth Grimes,Talisha Searcy,skipped,skipped
23,100,Seth Grimes,Jarrett Smith,skipped,skipped
24,300,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
25,400,Jarrett Smith,Seth Grimes,skipped,skipped
27,400,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
28,200,Jarrett Smith,skipped,skipped,skipped
29,400,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
30,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
31,600,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
32,100,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
33,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
34,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
35,200,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
36,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
37,600,Talisha Searcy,skipped,skipped,skipped
38,600,Seth Grimes,Jarrett Smith,skipped,skipped
39,300,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
40,500,Talisha Searcy,Seth Grimes,skipped,skipped
41,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
42,100,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
43,600,Talisha Searcy,skipped,skipped,skipped
44,200,Jarrett Smith,WRITE-IN1,skipped,skipped
45,400,Talisha Searcy,skipped,skipped,skipped
46,100,Talisha Searcy,Jarrett Smith,skipped,skipped
47,300,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
49,400,Seth Grimes,Seth Grimes,skipped,skipped
50,200,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
51,100,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
52,500,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
53,300,Jarrett Smith,skipped,skipped,skipped
54,600,Talisha Searcy,Jarrett Smith,skipped,skipped
55,600,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
56,300,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
57,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
58,600,Talisha Searcy,skipped,skipped,skipped
59,400,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
60,300,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
61,500,Jarrett Smith,skipped,skipped,skipped
62,600,Jarrett Smith,Seth Grimes,Talisha Searcy,Talisha Searcy
63,600,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
64,300,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
65,300,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
66,600,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
67,300,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
68,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
69,600,Seth Grimes,Talisha Searcy,skipped,skipped
70,500,Jarrett Smith,skipped,skipped,skipped
71,100,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
72,500,Talisha Searcy,Seth Grimes,skipped,skipped
73,200,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
74,300,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
75,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
76,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
77,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
78,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
79,200,Talisha Searcy,skipped,skipped,skipped
80,600,Jarrett Smith,skipped,skipped,skipped
81,500,Talisha Searcy,Seth Grimes,skipped,skipped
82,600,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
83,300,Talisha Searcy,Seth Grimes,skipped,skipped
84,300,Jarrett Smith,Seth Grimes,skipped,skipped
85,200,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
86,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
87,300,Seth Grimes,Talisha Searcy,skipped,skipped
88,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
89,400,Talisha Searcy,skipped,skipped,skipped
90,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
91,600,Talisha Searcy,skipped,skipped,skipped
92,600,Seth Grimes,Seth Grimes]Jarrett Smith,Talisha Searcy]Jarrett Smith,Talisha Searcy
93,300,Jarrett Smith,skipped,skipped,skipped
94,100,Seth Grimes,skipped,skipped,skipped
95,100,Talisha Searcy,Seth Grimes,skipped,skipped
96,300,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
97,600,Talisha Searcy,skipped,skipped,skipped
98,200,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
99,200,Talisha Searcy,Seth Grimes,skipped,skipped
100,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
101,500,Jarrett Smith,Seth Grimes,skipped,skipped
102,100,Talisha Searcy,Seth Grimes,skipped,skipped
103,400,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
104,500,Talisha Searcy,Talisha Searcy,Talisha Searcy,Talisha Searcy
105,500,Jarrett Smith,skipped,skipped,skipped
106,300,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
107,300,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
108,500,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
109,300,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
110,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
111,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
