Filename,Index,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality,Ashman_D,Sarle_coefficient,Hartigan_Dip,Amplitude_Ratio,Mode_Distance,stress_value
Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.mat,0,DP,FEDERAL,E,8,5,,0.56529227,82.99564381,76.20808429,46.11994732,27.87964745,27.73275251,0.127921717,10.83807506,0.127921717,0.999863742,0.623712717,0.252252252,23.02215437
Alaska_08162022_HouseofRepresentativesSpecial.mat,1,YES,FEDERAL,R,3,4,0.9553301,0.9553301,75.10219643,64.11899265,60.4955203,,,0.739849551,1.916339799,0.739849551,0.999990607,0.874056214,0.214214214,2.42E-07
Alaska_11082022_GovernorLieutenantGovernor.mat,2,YES,STATE,E,4,5,0.83961886,0.744511665,67.21896623,51.78961697,49.1061368,42.65928083,,0.898327472,3.713259812,0.898327472,0.99999224,0.376178299,0.531531532,1.123905099
Alaska_11082022_HouseDistrict1.mat,3,YES,STATE,R,2,3,1,1,63.43829279,62.6921355,,,,0.930661524,3.222704923,0.911109398,0.99983258,0.417968322,0.242242242,0
Alaska_11082022_HouseDistrict10.mat,4,YES,STATE,R,3,4,0.907753421,0.907753421,66.80888627,54.93600118,39.0613506,,,0.925923613,7.353462009,0.925923613,0.99980541,0.063073886,0.972972973,0.138170265
Alaska_11082022_HouseDistrict11.mat,5,YES,STATE,R,3,4,0.928896992,0.913009506,61.51842688,57.15587967,49.7069931,,,0.787102918,3.342104985,0.787102918,0.999789341,0.683207286,0.606606607,0.047471393
Alaska_11082022_HouseDistrict12.mat,6,YES,STATE,R,2,3,1,1,66.52790626,56.73758865,,,,0.950423899,3.070513733,0.915437686,0.999833333,0.372315441,0.242242242,0
Alaska_11082022_HouseDistrict13.mat,7,YES,STATE,R,2,3,1,1,62.25835592,61.58988257,,,,0.917356391,3.366764099,0.917356391,0.99979996,0.383374818,0.235235235,0
Alaska_11082022_HouseDistrict14.mat,8,YES,STATE,R,2,3,1,1,73.24784823,48.72650624,,,,0.923230149,,,,,,0
Alaska_11082022_HouseDistrict15.mat,9,YES,STATE,R,3,4,0.937964237,0.929436039,60.7565337,57.2352132,51.80192572,,,0.911403059,5.515148446,0.911403059,0.999817552,0.156106331,0.612612613,0.074617478
