Filename,Index,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality,Ashman_D,Sarle_coefficient,Hartigan_Dip,Amplitude_Ratio,Mode_Distance,stress_value,z_score_gamma_mds,z_score_stress_value
Alaska_08162022_HouseofRepresentativesSpecial.mat,1,YES,FEDERAL,R,3.0,4.0,0.9553301,0.9553301,75.10219643,64.11899265,60.4955203,,,0.739849551,1.916339799,0.739849551,0.999990607,0.874056214,0.214214214,2.42e-07,0.9419783138612291,0.08869995295381264
Alaska_11082022_HouseDistrict1.mat,3,YES,STATE,R,2.0,3.0,1.0,1.0,63.43829279,62.6921355,,,,0.930661524,3.222704923,0.911109398,0.99983258,0.417968322,0.242242242,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict12.mat,6,YES,STATE,R,2.0,3.0,1.0,1.0,66.52790626,56.73758865,,,,0.950423899,3.070513733,0.915437686,0.999833333,0.372315441,0.242242242,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict13.mat,7,YES,STATE,R,2.0,3.0,1.0,1.0,62.25835592,61.58988257,,,,0.917356391,3.366764099,0.917356391,0.99979996,0.383374818,0.235235235,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict14.mat,8,YES,STATE,R,2.0,3.0,1.0,1.0,73.24784823,48.72650624,,,,0.923230149,,,,,,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict16.mat,10,YES,STATE,R,2.0,3.0,1.0,1.0,64.35167122,56.41825985,,,,0.933298532,4.34669861,0.943251611,0.999852725,0.266589714,0.232232232,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict17.mat,11,YES,STATE,R,2.0,3.0,1.0,1.0,79.09859155,72.76995305,,,,0.853047586,2.51975106,0.853047586,0.999732406,0.949398762,0.243243243,9.84e-35,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict19.mat,13,YES,STATE,R,2.0,3.0,1.0,1.0,88.57142857,63.42857143,,,,0.908259852,,,,,,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict2.mat,14,YES,STATE,R,2.0,3.0,1.0,1.0,67.32145363,55.28272766,,,,0.924696146,4.469992397,0.944287882,0.999837134,0.282244087,0.228228228,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict21.mat,16,YES,STATE,R,2.0,3.0,1.0,1.0,61.9013683,60.27651083,,,,0.923534955,3.567609941,0.923534955,0.999843039,0.350677878,0.239239239,4.860000000000001e-35,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict22.mat,17,YES,STATE,R,2.0,3.0,1.0,1.0,64.79470199,60.90066225,,,,0.92676722,,,,,,9.65e-35,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict23.mat,18,YES,STATE,R,2.0,3.0,1.0,1.0,74.8157419,61.39618968,,,,0.913758178,,,,,,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict25.mat,20,YES,STATE,R,2.0,3.0,1.0,1.0,88.60619469,48.87997788,,,,0.944833857,,,,,,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict26.mat,21,YES,STATE,R,2.0,3.0,1.0,1.0,87.86915039,32.45494472,,,,0.930787088,,,,,,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict29.mat,24,YES,STATE,R,2.0,3.0,1.0,1.0,82.73689854,40.2761024,,,,0.930256416,,,,,,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict30.mat,25,YES,STATE,R,3.0,4.0,0.950225644,0.878152376,68.68861163,66.65781789,34.01911335,,,0.708299306,2.279903542,0.802637135,0.999782135,0.867187966,0.558558559,0.003240581,0.5370104528508055,0.08869995294923222
Alaska_11082022_HouseDistrict34.mat,28,YES,STATE,R,3.0,4.0,0.943902439,0.893224932,66.36856369,53.53658537,47.87262873,,,0.870338136,7.563727005,0.870338136,0.999789163,,,0.008405305,0.6160993459526523,0.08869995294193155
Alaska_11082022_HouseDistrict36.mat,30,YES,STATE,R,2.0,3.0,1.0,1.0,74.99330656,45.79651941,,,,0.943514304,4.715608024,0.94775186,0.999848988,,,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict39.mat,31,YES,STATE,R,2.0,3.0,1.0,1.0,78.4543965,75.20480612,,,,0.844711303,2.223910503,0.844711303,0.999624906,0.938844042,0.242242242,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict4.mat,32,YES,STATE,R,2.0,3.0,1.0,1.0,85.64320211,38.18235036,,,,0.914571588,,,,,,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict5.mat,33,YES,STATE,R,2.0,3.0,1.0,1.0,75.66009669,56.63815545,,,,0.909689315,3.544592824,0.909689315,0.999773499,0.602329532,0.24024024,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict7.mat,35,YES,STATE,R,2.0,3.0,1.0,1.0,71.36370294,64.99194375,,,,0.886551558,2.950983066,0.886551558,0.999821173,0.643547647,0.245245245,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_HouseDistrict9.mat,36,YES,STATE,R,2.0,3.0,1.0,1.0,64.95517522,54.23797881,,,,0.950040502,,,,,,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_SenateDistrictA.mat,37,YES,STATE,S,2.0,3.0,1.0,1.0,81.00580271,51.14893617,,,,0.930786725,,,,,,0.0,1.1763707384752218,0.08869995295381299
Alaska_11082022_SenateDistrictE.mat,40,YES,STATE,S,3.0,4.0,0.960562537,0.960562537,65.30221424,57.73189707,50.68222621,,,0.626082177,3.812268275,0.626082177,0.999917655,0.874650814,1.021021021,0.000838277,0.9694340188229592,0.08869995295262802
Alaska_11082022_SenateDistrictF.mat,41,YES,STATE,S,2.0,3.0,1.0,1.0,65.97008666,54.94828068,,,,0.932574119,,,,,,9.630000000000001e-35,1.1763707384752218,0.08869995295381299
Alaska_11082022_SenateDistrictG.mat,42,YES,STATE,S,2.0,3.0,1.0,1.0,65.19371541,57.99857168,,,,0.945162753,,,,,,1.03e-34,1.1763707384752218,0.08869995295381299
