type,candidates,partisan,level,mean gamma bf,std gamma bf,mean gamma mds,std gamma mds,mean bimodality,std bimodality,total number of elections
B,2,0,1.0,1.0,0.0,1.0,0.0,0.88456033764,0.052220660617984666,25
B,3,0,1.0,0.8884877751,0.05128487154087517,0.87152919635,0.05565377819076251,0.61019964315,0.15808032035126346,20
B,4,0,1.0,0.7383887810666666,0.08947843207032555,0.7202246211333333,0.10097114823931452,0.44369482973333335,0.14144851583264878,15
B,5,0,1.0,0.617422169,0.11695085824190826,0.600826494375,0.1387600147997466,0.5440396245,0.2075006535104261,8
B,6,0,1.0,0.672026936,0.05777732925086137,0.7060414084000001,0.05858498076612658,0.3108686992,0.1805638158200027,5
B,7,0,1.0,0.5382912095714286,0.10289966950017781,0.5318062381428571,0.12900953034728924,0.35234638085714287,0.24193036183948177,7
B,8,0,1.0,,,0.61926506375,0.08678191460545137,0.20007105575,0.09305584796340016,4
B,9,0,1.0,,,0.57248056225,0.041903394868822434,0.49907853775,0.31977391153295615,4
B,10,0,1.0,,,0.637430396,,0.541057906,,1
B,11,0,1.0,,,0.251224234,,0.634732746,,1
B,13,0,1.0,,,0.510730428,,0.155187875,,1
B,14,0,1.0,,,0.643578863,0.07616534791198885,0.3490380155,0.19910118421401216,2
B,21,0,1.0,,,0.418759724,,0.123889738,,1
B,22,0,1.0,,,0.434390042,,0.091716759,,1
B,29,0,1.0,,,0.597056841,,0.147744118,,1
E,2,0,1.0,1.0,0.0,1.0,0.0,0.9023009129999999,0.04077421369318422,2
E,2,RP,1.0,1.0,0.0,1.0,0.0,0.8648088970000001,0.03504044602488867,2
E,3,0,1.0,0.8714164796,0.06217259008674717,0.8037483076,0.06746816414503996,0.6262323942,0.15876951074895643,5
E,3,DP,1.0,0.870628046,,0.870628046,,0.472807399,,1
E,4,0,1.0,0.805628363,0.08782128201203351,0.785689156,0.12417868149933736,0.3486717853333334,0.14549423824994667,3
E,4,1,1.0,0.704945053,,0.765856366,,0.695768011,,1
E,4,1,2.0,0.83961886,,0.744511665,,0.898327472,,1
E,4,RP,1.0,0.752689817,,0.728876651,,0.476579303,,1
E,5,0,1.0,0.371428571,,0.280329857,,0.817700427,,1
E,5,1,1.0,0.5586716359999999,0.09148788375561226,0.605882196,0.0721711336360903,0.604458734,0.1607577441263586,2
E,5,DP,1.0,0.5656627335,0.01005177957432833,0.5848191195,0.013175822588444453,0.532842332,0.039428074714849604,2
E,5,DP,3.0,0.69377258,,0.604950367,,0.799628758,,1
E,6,0,1.0,0.7333354963333333,0.10987523290924447,0.5496262216666666,0.1320003657341835,0.8268682593333333,0.01365104180462258,3
E,7,0,1.0,0.647728662,0.005103301362694742,0.709763235,0.036519266519645245,0.2088316935,0.22671029435044798,2
E,7,1,2.0,0.303228417,,0.311638646,,0.610349694,,1
