type,candidates,partisan,level,mean gamma bf,std gamma bf,mean gamma mds,std gamma mds,mean bimodality,std bimodality,total number of elections
B,2,NO,1,1,0,1,0,0.884560338,0.052220661,25
B,3,NO,1,0.888487775,0.051284872,0.871529196,0.055653778,0.610199643,0.15808032,20
B,4,NO,1,0.738388781,0.089478432,0.720224621,0.100971148,0.44369483,0.141448516,15
B,5,NO,1,0.617422169,0.116950858,0.600826494,0.138760015,0.544039625,0.207500654,8
B,6,NO,1,0.672026936,0.057777329,0.706041408,0.058584981,0.310868699,0.180563816,5
B,7,NO,1,0.53829121,0.10289967,0.531806238,0.12900953,0.352346381,0.241930362,7
B,8,NO,1,,,0.619265064,0.086781915,0.200071056,0.093055848,4
B,9,NO,1,,,0.572480562,0.041903395,0.499078538,0.319773912,4
B,10,NO,1,,,0.637430396,,0.541057906,,1
B,11,NO,1,,,0.251224234,,0.634732746,,1
B,13,NO,1,,,0.510730428,,0.155187875,,1
B,14,NO,1,,,0.643578863,0.076165348,0.349038016,0.199101184,2
B,21,NO,1,,,0.418759724,,0.123889738,,1
B,22,NO,1,,,0.434390042,,0.091716759,,1
B,29,NO,1,,,0.597056841,,0.147744118,,1
E,2,NO,1,1,0,1,0,0.902300913,0.040774214,2
E,2,RP,1,1,0,1,0,0.864808897,0.035040446,2
E,3,DP,1,0.870628046,,0.870628046,,0.472807399,,1
E,3,NO,1,0.87141648,0.06217259,0.803748308,0.067468164,0.626232394,0.158769511,5
E,4,NO,1,0.805628363,0.087821282,0.785689156,0.124178681,0.348671785,0.145494238,3
E,4,RP,1,0.752689817,,0.728876651,,0.476579303,,1
E,4,YES,1,0.704945053,,0.765856366,,0.695768011,,1
E,4,YES,2,0.83961886,,0.744511665,,0.898327472,,1
E,5,DP,1,0.565662734,0.01005178,0.58481912,0.013175823,0.532842332,0.039428075,2
E,5,DP,3,0.69377258,,0.604950367,,0.799628758,,1
E,5,NO,1,0.371428571,,0.280329857,,0.817700427,,1
E,5,YES,1,0.558671636,0.091487884,0.605882196,0.072171134,0.604458734,0.160757744,2
E,6,NO,1,0.733335496,0.109875233,0.549626222,0.132000366,0.826868259,0.013651042,3
E,7,DP,1,0.522221848,,0.588079325,,0.257478424,,1
E,7,NO,1,0.647728662,0.005103301,0.709763235,0.036519267,0.208831694,0.226710294,2
E,7,NO,2,0.303228417,,0.311638646,,0.610349694,,1
E,8,DP,3,,,0.56529227,,0.127921717,,1
E,8,NO,1,,,0.629395821,0.008392251,0.293616294,0.298781625,2
E,10,NO,1,,,0.449331239,0.128198763,0.508326137,0.292079718,4
E,11,DP,3,,,0.730557129,0.01609413,0.337204862,0.428080125,3
E,11,NO,1,,,0.813208761,,0.334072329,,1
E,12,DP,1,,,0.482624229,,0.306647211,,1
E,12,NO,1,,,0.710926541,,0.723005628,,1
E,13,DP,1,,,0.347728012,,0.219899522,,1
E,16,NO,1,,,0.535580364,0.026894338,0.133602992,0.039828731,2
E,18,NO,1,,,0.655918326,0.09821469,0.192414176,0.073758902,2
E,35,NO,1,,,0.514412054,,0.036211293,,1
O,2,NO,1,1,0,1,0,0.875509688,0.050823534,8
O,3,DP,1,0.917117884,,0.874147063,,0.711345079,,1
O,3,NO,1,0.948835733,,0.948835733,,0.654549816,,1
O,3,YES,1,0.933534428,,0.859795511,,0.362353034,,1
O,4,NO,1,0.749679444,0.098132983,0.70582712,0.057435253,0.482539148,0.227245904,5
O,5,NO,1,0.651418125,,0.70158706,,0.40583658,,1
O,6,YES,1,0.581903336,,0.632458781,,0.372878492,,1
O,10,DP,1,,,0.507020719,,0.216648495,,1
R,2,DP,1,1,0,1,0,0.887293255,0.036194766,4
R,2,NO,1,1,0,1,0,0.880856863,0.059676448,23
R,2,RP,1,1,0,1,0,0.834099774,0.027274695,5
R,2,YES,1,1,0,1,0,0.852893362,0.030954484,2
R,2,YES,2,1,0,1,0,0.917999518,0.028200292,20
R,3,DP,1,0.899027466,0.060896287,0.849072295,0.043075457,0.74406267,0.099204682,4
R,3,NO,1,0.882737613,0.054058542,0.842244389,0.07191553,0.592561305,0.139294895,39
R,3,NO,2,0.814500218,0.040220376,0.769163646,0.025651123,0.527205207,0.071935699,5
R,3,NO,3,0.848793606,,0.848793606,,0.468700872,,1
R,3,YES,1,0.865999415,0.013246171,0.865999415,0.013246171,0.834353447,0.096606975,2
R,3,YES,2,0.928402777,0.029084288,0.885848284,0.036332726,0.835998899,0.076475783,11
R,3,YES,3,0.944857301,0.014810774,0.944857301,0.014810774,0.825307732,0.120856119,2
R,4,DP,1,0.72918048,0.032175777,0.696614002,0.021158017,0.698226955,0.131116824,6
R,4,NO,1,0.759351838,0.103499264,0.729673878,0.092881273,0.511458849,0.147964983,30
R,4,NO,3,0.694512424,,0.676191106,,0.548796721,,1
R,4,YES,2,0.775978245,0.083423907,0.786864563,0.046221578,0.762732315,0.168308429,3
R,4,YES,3,0.804908925,0.029407943,0.77428315,0.023714996,0.862657801,0.077275017,2
R,5,DP,1,0.620421264,0.030001408,0.627191796,0.018055583,0.557692489,0.151866472,4
R,5,NO,1,0.721699958,0.130448117,0.687947765,0.12731089,0.538904201,0.248271059,16
R,5,RP,1,0.676007005,,0.7117338,,0.24336581,,1
R,5,YES,1,0.288008965,,0.289503175,,0.61742419,,1
R,6,DP,1,0.583350625,0.033439942,0.585531309,0.04626212,0.395273623,0.145400171,8
R,6,NO,1,0.614678202,0.095988015,0.59006421,0.141990146,0.351276004,0.113549676,5
R,7,DP,1,0.519972809,0.062540435,0.546630561,0.024168522,0.459244269,0.138737189,5
R,7,NO,1,0.548267348,0.177569501,0.494758434,0.162508226,0.401358208,0.229539333,6
R,8,DP,1,,,0.52380588,0.054674783,0.357802099,0.200279167,7
R,8,NO,1,,,0.731010766,,0.612688341,,1
R,9,DP,1,,,0.413396551,0.022886122,0.416319684,0.150814068,3
R,11,DP,1,,,0.447073029,,0.341024843,,1
R,12,DP,1,,,0.369448177,0.065040788,0.368613167,0.16419268,2
R,12,NO,1,,,0.685729072,,0.222105143,,1
R,13,DP,1,,,0.326570349,,0.458370038,,1
R,15,DP,1,,,0.315592748,,0.215191072,,1
S,2,YES,2,1,0,1,0,0.918804825,0.024667063,10
S,3,YES,2,0.919168006,0.035517915,0.875170507,0.05588202,0.749218146,0.119214247,8
S,4,YES,3,0.831821701,,0.82133641,,0.87220012,,1
