,Unnamed: 0,filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate
0,0,Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,DP,3,E,8,5,,0.56529227,82.99564381,76.20808429,46.11994732,27.87964745,27.73275251
1,1,Alaska_08162022_HouseofRepresentativesSpecial.csv,1,3,R,3,4,0.9553301,0.9553301,75.10219643,64.11899265,60.4955203,,
2,2,Alaska_11082022_GovernorLieutenantGovernor.csv,1,2,E,4,5,0.83961886,0.744511665,67.21896623,51.78961697,49.1061368,42.65928083,
3,3,Alaska_11082022_HouseDistrict1.csv,1,2,R,2,3,1,1,63.43829279,62.6921355,,,
4,4,Alaska_11082022_HouseDistrict2.csv,1,2,R,2,3,1,1,67.32145363,55.28272766,,,
5,5,Alaska_11082022_HouseDistrict3.csv,1,2,R,1,2,1,,100,,,,
6,6,Alaska_11082022_HouseDistrict4.csv,1,2,R,2,3,1,1,85.64320211,38.18235036,,,
7,7,Alaska_11082022_HouseDistrict5.csv,1,2,R,2,3,1,1,75.66009669,56.63815545,,,
8,8,Alaska_11082022_HouseDistrict6.csv,1,2,R,3,4,0.962293877,0.880054616,63.87984455,56.20207961,35.15387039,,
9,9,Alaska_11082022_HouseDistrict7.csv,1,2,R,2,3,1,1,71.36370294,64.99194375,,,
10,10,Alaska_11082022_HouseDistrict8.csv,1,2,R,1,2,1,,100,,,,
11,11,Alaska_11082022_HouseDistrict9.csv,1,2,R,2,3,1,1,64.95517522,54.23797881,,,
12,12,Alaska_11082022_HouseDistrict10.csv,1,2,R,3,4,0.907753421,0.907753421,66.80888627,54.93600118,39.0613506,,
13,13,Alaska_11082022_HouseDistrict11.csv,1,2,R,3,4,0.928896992,0.913009506,61.51842688,57.15587967,49.7069931,,
14,14,Alaska_11082022_HouseDistrict12.csv,1,2,R,2,3,1,1,66.52790626,56.73758865,,,
