Unnamed: 0.1,Unnamed: 0,filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality
0,0,Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,DP,3.0,E,8,5,,0.56529227,82.99564381,76.20808429,46.11994732,27.87964745,27.73275251,0.1279217172264373
1,1,Alaska_08162022_HouseofRepresentativesSpecial.csv,1,3.0,R,3,4,0.9553301,0.9553301,75.10219643,64.11899265,60.4955203,,,0.7398495509160997
2,2,Alaska_11082022_GovernorLieutenantGovernor.csv,1,2.0,E,4,5,0.83961886,0.744511665,67.21896623,51.78961697,49.1061368,42.65928083,,0.8983274719312904
3,3,Alaska_11082022_HouseDistrict1.csv,1,2.0,R,2,3,1.0,1.0,63.43829279,62.6921355,,,,0.9306615244063358
4,4,Alaska_11082022_HouseDistrict2.csv,1,2.0,R,2,3,1.0,1.0,67.32145363,55.28272766,,,,0.9246961458753956
6,6,Alaska_11082022_HouseDistrict4.csv,1,2.0,R,2,3,1.0,1.0,85.64320211,38.18235036,,,,0.914571588297942
7,7,Alaska_11082022_HouseDistrict5.csv,1,2.0,R,2,3,1.0,1.0,75.66009669,56.63815545,,,,0.9096893148697112
8,8,Alaska_11082022_HouseDistrict6.csv,1,2.0,R,3,4,0.962293877,0.880054616,63.87984455,56.20207961,35.15387039,,,0.930510792627288
9,9,Alaska_11082022_HouseDistrict7.csv,1,2.0,R,2,3,1.0,1.0,71.36370294,64.99194375,,,,0.8865515582815278
11,11,Alaska_11082022_HouseDistrict9.csv,1,2.0,R,2,3,1.0,1.0,64.95517522,54.23797881,,,,0.9500405022775368
12,12,Alaska_11082022_HouseDistrict10.csv,1,2.0,R,3,4,0.907753421,0.907753421,66.80888627,54.93600118,39.0613506,,,0.9259236130507572
13,13,Alaska_11082022_HouseDistrict11.csv,1,2.0,R,3,4,0.928896992,0.913009506,61.51842688,57.15587967,49.7069931,,,0.7871029181154496
14,14,Alaska_11082022_HouseDistrict12.csv,1,2.0,R,2,3,1.0,1.0,66.52790626,56.73758865,,,,0.9504238988315902
15,15,Alaska_11082022_HouseDistrict13.csv,1,2.0,R,2,3,1.0,1.0,62.25835592,61.58988257,,,,0.9173563909926972
