state,jurisdiction,year,date,office,notes,exhaust_on_overvote_marks,exhaust_on_N_repeated_skipped_marks,exhaust_on_duplicate_candidate_marks,exclude_writein_marks,combine_writein_marks,treat_combined_writeins_as_exhaustable_duplicates,multi_winner_rounds,n_winners,rcv_type,bottoms_up_threshold,split_fields,parser_func,cvr_path,extra_parser_args,ignore_contest
,Vineyard PLACEHOLDER,2019,11/05/2019,CityCouncil,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Vineyard_11052019_CityCouncil_tab2.csv,,FALSE
,Payson PLACEHOLDER,2019,11/05/2019,CityCouncil,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Payson_11052019_CityCouncil_tab1.csv,,FALSE
,WoodlandHills PLACEHOLDER,2021,11/02/2021,CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/WoodlandHills_11022021_CityCouncil.csv,,FALSE
,Vineyard PLACEHOLDER,2019,11/05/2019,CityCouncil,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Vineyard_11052019_CityCouncil_tab1.csv,,FALSE
,Payson PLACEHOLDER,2019,11/05/2019,CityCouncil,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Payson_11052019_CityCouncil_tab2.csv,,FALSE
,Payson PLACEHOLDER,2019,11/05/2019,CityCouncil,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Payson_11052019_CityCouncil_tab3.csv,,FALSE
,Springville PLACEHOLDER,2021,11/02/2021,CityCouncil4yr.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Springville_11022021_CityCouncil4yr.csv,,FALSE
,Vineyard PLACEHOLDER,2021,11/02/2021,CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Vineyard_11022021_CityCouncil.csv,,FALSE
,Genola PLACEHOLDER,2021,11/02/2021,CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Genola_11022021_CityCouncil.csv,,FALSE
,Portland PLACEHOLDER,2022,06/14/2022,Schoolboarddistrict5.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Portland_06142022_Schoolboarddistrict5.csv,,FALSE
,Moab PLACEHOLDER,2021,11/02/2021,CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Moab_11022021_CityCouncil.csv,,FALSE
,Portland PLACEHOLDER,2022,06/14/2022,SchoolboardAL.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Portland_06142022_SchoolboardAL.csv,,FALSE
,Lehi PLACEHOLDER,2021,11/02/2021,CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Sequential ranked choice voting CVRs/Lehi_11022021_CityCouncil.csv,,FALSE
,SanFrancisco PLACEHOLDER,2010,11/02/2010,BoardofSupervisorsDistrict6.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11022010_BoardofSupervisorsDistrict6.csv,,FALSE
,Oakland PLACEHOLDER,2014,11/04/2014,SchoolDirectorDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11042014_SchoolDirectorDistrict2.csv,,FALSE
,Albany PLACEHOLDER,2022,11/08/2022,CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Albany_11082022_CityCouncil.csv,,FALSE
,Berkeley PLACEHOLDER,2020,11/03/2020,MemberCityCouncilDist2BerkeleyRCV.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.csv,,FALSE
,Berkeley PLACEHOLDER,2014,11/04/2014,CityAuditor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11042014_CityAuditor.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict23.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict23.csv,,FALSE
,Berkeley PLACEHOLDER,2014,11/04/2014,CityCouncilDistrict8.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11042014_CityCouncilDistrict8.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict37.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict37.csv,,FALSE
,Minneapolis PLACEHOLDER,2017,11/07/2017,Ward6CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11072017_Ward6CityCouncil.csv,,FALSE
,Oakland PLACEHOLDER,2016,11/08/2016,CouncilAtLrg.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11082016_CouncilAtLrg.csv,,FALSE
,SanFrancisco PLACEHOLDER,2016,11/08/2016,BoardofSupervisorsDistrict7.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11082016_BoardofSupervisorsDistrict7.csv,,FALSE
,Minneapolis PLACEHOLDER,2017,11/07/2017,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11072017_Mayor.csv,,FALSE
,Berkeley PLACEHOLDER,2018,11/06/2018,CityCouncilDistrict1.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11062018_CityCouncilDistrict1.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,REPCouncilMember23rdCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_REPCouncilMember23rdCouncilDistrict.csv,,FALSE
,Hawaii PLACEHOLDER,2020,05/23/2020,PresidentoftheUnitedStateCD1.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Hawaii_05232020_PresidentoftheUnitedStateCD1.csv,,FALSE
,Minneapolis PLACEHOLDER,2009,11/06/2009,PRBoardDistrict6.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11062009_PRBoardDistrict6.csv,,FALSE
,SanFrancisco PLACEHOLDER,2018,06/05/2018,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_06052018_Mayor.csv,,FALSE
,Minneapolis PLACEHOLDER,2009,11/06/2009,Ward10CityCouncil.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11062009_Ward10CityCouncil.csv,,FALSE
,Minneapolis PLACEHOLDER,2013,11/05/2013,PRBoardDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Minneapolis_11052013_PRBoardDistrict2.csv,,FALSE
,LasCruces PLACEHOLDER,2019,11/05/2019,COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.csv,,FALSE
,Maine PLACEHOLDER,2020,07/14/2020,DemocraticCandidateforMaineStateHouseDistrict90.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember27thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember27thCouncilDistrict.csv,,FALSE
,SanFrancisco PLACEHOLDER,2020,11/03/2020,BOARDOFSUPERVISORSDISTRICT9.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT9.csv,,FALSE
,Oakland PLACEHOLDER,2012,11/06/2012,CityAttorney.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11062012_CityAttorney.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict36.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict36.csv,,FALSE
,Alaska PLACEHOLDER,2022,11/08/2022,HouseDistrict22.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_11082022_HouseDistrict22.csv,,FALSE
,Berkeley PLACEHOLDER,2016,11/08/2016,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11082016_Mayor.csv,,FALSE
,Maine PLACEHOLDER,2020,07/14/2020,DemocraticCandidateforMaineStateHouseDistrict47.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.csv,,FALSE
,SantaFe PLACEHOLDER,2018,03/06/2018,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SantaFe_03062018_Mayor.csv,,FALSE
,Maine PLACEHOLDER,2022,11/08/2022,CongressionalDistrict2.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Maine_11082022_CongressionalDistrict2.csv,,FALSE
,Springville PLACEHOLDER,2021,11/02/2021,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Springville_11022021_Mayor.csv,,FALSE
,LasCruces PLACEHOLDER,2019,11/05/2019,COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR.csv,,FALSE
,SanLeandro PLACEHOLDER,2018,11/06/2018,Mayor.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SanLeandro_11062018_Mayor.csv,,FALSE
,SantaFe PLACEHOLDER,2018,03/06/2018,CityCouncilDistrict4.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/SantaFe_03062018_CityCouncilDistrict4.csv,,FALSE
,Corvallis PLACEHOLDER,2022,11/08/2022,CityCouncilWard9.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Corvallis_11082022_CityCouncilWard9.csv,,FALSE
,Oakland PLACEHOLDER,2010,11/02/2010,SchoolDirectorDistrict6.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11022010_SchoolDirectorDistrict6.csv,,FALSE
,Oakland PLACEHOLDER,2010,11/02/2010,SchoolDirectorDistrict4.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Oakland_11022010_SchoolDirectorDistrict4.csv,,FALSE
,Berkeley PLACEHOLDER,2020,11/03/2020,MemberCityCouncilDist5BerkeleyRCV.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember33rdCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember33rdCouncilDistrict.csv,,FALSE
,Alaska PLACEHOLDER,2022,08/16/2022,HouseofRepresentativesSpecial.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/Alaska_08162022_HouseofRepresentativesSpecial.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,REPBoroughPresidentRichmond.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_REPBoroughPresidentRichmond.csv,,FALSE
,NewYorkCity PLACEHOLDER,2021,06/22/2021,DEMCouncilMember10thCouncilDistrict.csv,,FALSE,0,FALSE,FALSE,FALSE,FALSE,TRUE,1,IRV,0,,,tabulator_input/Single winner ranked choice voting CVRs/NewYorkCity_06222021_DEMCouncilMember10thCouncilDistrict.csv,,FALSE
