,filename,gamma,gamma mds
0,Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,0.56529227,0.56529227
1,Alaska_08162022_HouseofRepresentativesSpecial.csv,0.9553301,0.9553301
2,Alaska_11082022_GovernorLieutenantGovernor.csv,0.744511665,0.744511665
3,Alaska_11082022_HouseDistrict1.csv,1,1
4,Alaska_11082022_HouseDistrict2.csv,1,1
5,Alaska_11082022_HouseDistrict4.csv,1,1
6,Alaska_11082022_HouseDistrict5.csv,1,1
7,Alaska_11082022_HouseDistrict6.csv,0.880054616,0.880054616
8,Alaska_11082022_HouseDistrict7.csv,1,1
9,Alaska_11082022_HouseDistrict9.csv,1,1
10,Alaska_11082022_HouseDistrict10.csv,0.907753421,0.907753421
11,Alaska_11082022_HouseDistrict11.csv,0.913009506,0.913009506
12,Alaska_11082022_HouseDistrict12.csv,1,1
13,Alaska_11082022_HouseDistrict13.csv,1,1
14,Alaska_11082022_HouseDistrict14.csv,1,1
15,Alaska_11082022_HouseDistrict15.csv,0.929436039,0.929436039
16,Alaska_11082022_HouseDistrict16.csv,1,1
17,Alaska_11082022_HouseDistrict17.csv,1,1
18,Alaska_11082022_HouseDistrict18.csv,0.891930156,0.891930156
19,Alaska_11082022_HouseDistrict19.csv,1,1
20,Alaska_11082022_HouseDistrict20.csv,0.782851446,0.782851446
21,Alaska_11082022_HouseDistrict21.csv,1,1
22,Alaska_11082022_HouseDistrict22.csv,1,1
23,Alaska_11082022_HouseDistrict23.csv,1,1
24,Alaska_11082022_HouseDistrict24.csv,0.918533333,0.918533333
25,Alaska_11082022_HouseDistrict25.csv,1,1
26,Alaska_11082022_HouseDistrict26.csv,1,1
27,Alaska_11082022_HouseDistrict27.csv,0.86332737,0.86332737
28,Alaska_11082022_HouseDistrict28.csv,0.74278039,0.74278039
29,Alaska_11082022_HouseDistrict29.csv,1,1
30,Alaska_11082022_HouseDistrict30.csv,0.878152376,0.878152376
31,Alaska_11082022_HouseDistrict31.csv,0.873447664,0.873447664
32,Alaska_11082022_HouseDistrict32.csv,0.795461708,0.795461708
33,Alaska_11082022_HouseDistrict34.csv,0.893224932,0.893224932
34,Alaska_11082022_HouseDistrict35.csv,0.834961852,0.834961852
35,Alaska_11082022_HouseDistrict36.csv,1,1
36,Alaska_11082022_HouseDistrict39.csv,1,1
