,filename,partisan,level,type,candidates,gamma,irv ,condorcet ,approval,plurality ,irv,condorcet,plurality
0,Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,DP,3.0,E,,,,,,,,,
1,Alaska_08162022_HouseofRepresentativesSpecial.csv,1,3.0,R,3.0,0.9561283075386919,,,"Begich, Nick",,"Peltola, Mary S.","Begich, Nick","Peltola, Mary S."
2,Alaska_11082022_GovernorLieutenantGovernor.csv,1,2.0,E,4.0,0.8409551092646199,,,Dunleavy/Dahlstrom,,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom
3,Alaska_11082022_HouseDistrict1.csv,1,2.0,R,2.0,1.0,,,"Ortiz, Daniel H. ""Dan""",,"Ortiz, Daniel H. ""Dan""","Bynum, Jeremy T.","Ortiz, Daniel H. ""Dan"""
4,Alaska_11082022_HouseDistrict2.csv,1,2.0,R,2.0,1.0,,,"Himschoot, Rebecca",,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca"
5,Alaska_11082022_HouseDistrict3.csv,1,2.0,R,1.0,1.0,,,"Story, Andrea ""Andi""",,"Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi"""
6,Alaska_11082022_HouseDistrict4.csv,1,2.0,R,2.0,1.0,,,"Hannan, Sara",,"Hannan, Sara","Hannan, Sara","Hannan, Sara"
7,Alaska_11082022_HouseDistrict5.csv,1,2.0,R,2.0,1.0,,,"Stutes, Louise B.",,"Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B."
8,Alaska_11082022_HouseDistrict6.csv,1,2.0,R,3.0,0.9635384927889499,,,"Vance, Sarah L.",,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L."
9,Alaska_11082022_HouseDistrict7.csv,1,2.0,R,2.0,1.0,,,"Ruffridge, Justin",,"Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin"
10,Alaska_11082022_HouseDistrict8.csv,1,2.0,R,1.0,1.0,,,"Carpenter, Ben",,"Carpenter, Ben","Carpenter, Ben","Carpenter, Ben"
11,Alaska_11082022_HouseDistrict9.csv,1,2.0,R,2.0,1.0,,,"Shaw, Laddie H.",,"Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H."
12,Alaska_11082022_HouseDistrict10.csv,1,2.0,R,,,,,,,,,
13,Alaska_11082022_HouseDistrict11.csv,1,2.0,R,,,,,,,,,
14,Alaska_11082022_HouseDistrict12.csv,1,2.0,R,,,,,,,,,
15,Alaska_11082022_HouseDistrict13.csv,1,2.0,R,,,,,,,,,
16,Alaska_11082022_HouseDistrict14.csv,1,2.0,R,,,,,,,,,
17,Alaska_11082022_HouseDistrict15.csv,1,2.0,R,,,,,,,,,
18,Alaska_11082022_HouseDistrict16.csv,1,2.0,R,,,,,,,,,
19,Alaska_11082022_HouseDistrict17.csv,1,2.0,R,,,,,,,,,
20,Alaska_11082022_HouseDistrict18.csv,1,2.0,R,3.0,0.9355400696864111,,,"Nelson, David",,"Groh, Cliff","Nelson, David","Nelson, David"
21,Alaska_11082022_HouseDistrict19.csv,1,2.0,R,2.0,1.0,,,"Mina, Genevieve G.",,"Mina, Genevieve G.","Wyatt, Russell O.","Mina, Genevieve G."
22,Alaska_11082022_HouseDistrict20.csv,1,2.0,R,4.0,0.8216898317483541,,,"Gray, Andrew T.",,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T."
23,Alaska_11082022_HouseDistrict21.csv,1,2.0,R,2.0,1.0,,,"Wolfe, Forrest M.",,"Mears, Donna C.","Wolfe, Forrest M.","Mears, Donna C."
24,Alaska_11082022_HouseDistrict22.csv,1,2.0,R,2.0,1.0,,,"Wright, Stanley A.",,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A."
25,Alaska_11082022_HouseDistrict23.csv,1,2.0,R,2.0,1.0,,,"Allard, Jamie",,"Allard, Jamie","Allard, Jamie","Allard, Jamie"
26,Alaska_11082022_HouseDistrict24.csv,1,2.0,R,3.0,0.9363352095059412,,,"Saddler, Dan",,"Saddler, Dan","Saddler, Dan","Saddler, Dan"
27,Alaska_11082022_HouseDistrict25.csv,1,2.0,R,2.0,1.0,,,"Johnson, DeLena M.",,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M."
28,Alaska_11082022_HouseDistrict26.csv,1,2.0,R,2.0,1.0,,,"Tilton, Cathy L.",,"Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L."
29,Alaska_11082022_HouseDistrict27.csv,1,2.0,R,3.0,0.8855773550995957,,,"Eastman, David",,"Eastman, David","Eastman, David","Eastman, David"
30,Alaska_11082022_HouseDistrict28.csv,1,2.0,R,,,,,,,,,
31,Alaska_11082022_HouseDistrict29.csv,1,2.0,R,,,,,,,,,
32,Alaska_11082022_HouseDistrict30.csv,1,2.0,R,3.0,0.9538972215392181,,,"McCabe, Kevin J.",,"McCabe, Kevin J.","Holmes, Doyle E.","McCabe, Kevin J."
33,Alaska_11082022_HouseDistrict31.csv,1,2.0,R,3.0,0.9026083693000563,,,"LeBon, Barton S.",,"Dibert, Maxine L.","LeBon, Barton S.","Dibert, Maxine L."
34,Alaska_11082022_HouseDistrict32.csv,1,2.0,R,3.0,0.9609397944199707,,,"Stapp, Will B.",,"Stapp, Will B.","Givens, Timothy W.","Stapp, Will B."
35,Alaska_11082022_HouseDistrict33.csv,1,2.0,R,1.0,1.0,,,"Prax, Glenn M. ""Mike""",,"Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike"""
36,Alaska_11082022_HouseDistrict34.csv,1,2.0,R,3.0,0.9461778471138845,,,"Tomaszewski, Frank J.",,"Tomaszewski, Frank J.",-1,"Tomaszewski, Frank J."
37,Alaska_11082022_HouseDistrict35.csv,1,2.0,R,4.0,0.8489272565697601,,,"Carrick, Ashley E.",,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E."
38,Alaska_11082022_HouseDistrict36.csv,1,2.0,R,2.0,1.0,,,"Cronk, Mike",,"Cronk, Mike","Cronk, Mike","Cronk, Mike"
39,Alaska_11082022_HouseDistrict37.csv,1,2.0,R,1.0,1.0,,,"Edgmon, Bryce",,"Edgmon, Bryce","Edgmon, Bryce","Edgmon, Bryce"
40,Alaska_11082022_HouseDistrict38.csv,1,2.0,R,,,,,,,,,
41,Alaska_11082022_HouseDistrict39.csv,1,2.0,R,,,,,,,,,
42,Alaska_11082022_HouseDistrict40.csv,1,2.0,R,1.0,1.0,,,"Patkotak, Josiah B. ""Aullaqsruaq""",,"Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq"""
43,Alaska_11082022_SenateDistrictA.csv,1,2.0,S,2.0,1.0,,,"Stedman, Bert K.",,"Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K."
44,Alaska_11082022_SenateDistrictB.csv,1,2.0,S,1.0,1.0,,,"Kiehl, Jesse",,"Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse"
45,Alaska_11082022_SenateDistrictC.csv,1,2.0,S,3.0,0.9360909377960215,,,"Stevens, Gary",,"Stevens, Gary","Stevens, Gary","Stevens, Gary"
46,Alaska_11082022_SenateDistrictD.csv,1,2.0,S,3.0,0.9591623036649215,,,"Bjorkman, Jesse J.",,"Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J."
47,Alaska_11082022_SenateDistrictE.csv,1,2.0,S,3.0,0.9622619866941959,,,"Giessel, Cathy",,"Giessel, Cathy","Giessel, Cathy","Giessel, Cathy"
48,Alaska_11082022_SenateDistrictF.csv,1,2.0,S,2.0,1.0,,,"Kaufman, James D.",,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D."
49,Alaska_11082022_SenateDistrictG.csv,1,2.0,S,2.0,1.0,,,"Gray-Jackson, Elvi",,"Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi"
50,Alaska_11082022_SenateDistrictH.csv,1,2.0,S,2.0,1.0,,,"Costello, Mia",,"Claman, Matt","Costello, Mia","Claman, Matt"
51,Alaska_11082022_SenateDistrictI.csv,1,2.0,S,2.0,1.0,,,"Tobin, Löki G.",,"Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G."
