,partisan,level,type,candidates,mean gamma,stdev,total number of elections
0,DP,Federal,E,9,0.576627966,,1
1,Yes,Federal,R,3,0.914758309,0.047077768,3
2,Yes,State,E,4,0.815944985,,1
3,Yes,State,R,2,1,0,20
4,Yes,State,R,1,1,0,6
5,Yes,State,R,3,0.845472635,0.058951592,16
6,Yes,State,R,4,0.762275417,0.061620405,3
7,Yes,State,S,2,1,0,10
8,Yes,State,S,1,1,,1
9,Yes,State,S,3,0.875913505,0.066272169,8
10,Yes,Federal,R,4,0.746321839,0.042775233,3
11,Yes,Federal,S,4,0.710115594,,1
12,,Local,,4,0.489196535,0.021504994,2
13,,Local,,5,0.313979086,,1
14,No,Local,R,2,1,0,23
15,No,Local,O,1,1,0,10
16,No,Local,R,4,0.75231326,0.098688168,30
17,No,Local,R,3,0.849984549,0.066148138,39
18,No,Local,E,4,0.792445001,0.1269206,3
19,No,Local,E,7,0.670591707,0.083636453,2
20,No,Local,O,2,1,0,8
21,No,Local,E,8,0.620098687,0.001729426,2
22,Yes,Local,E,5,0.518140516,0.142233116,2
23,Yes,Local,R,2,1,0,2
24,Yes,Local,R,1,1,,1
25,Yes,Local,R,3,0.850581258,0.017438869,2
26,No,Local,E,3,0.81146074,0.063925316,5
27,Yes,Local,E,2,0.63969356,,1
28,DP,Federal,E,11,0.768975125,0.01923128,3
29,DP,Federal,E,5,0.639601207,,1
30,No,Local,E,10,0.471141032,0.160998194,4
31,Yes,State,E,7,0.327269015,,1
32,No,Local,R,12,0.690863891,,1
33,No,Local,R,5,0.689711313,0.140716381,16
34,No,Local,R,7,0.497890715,0.20930675,6
35,No,Local,R,8,0.691922085,,1
36,No,Local,R,6,0.604147091,0.130594867,5
37,No,Local,E,18,0.645108117,0.128800381,2
38,No,Local,B,7,0.53013059,0.206717768,7
39,No,Local,B,1,1,0,6
40,No,Local,B,3,0.866336558,0.072593918,20
41,No,Local,B,2,1,0,25
42,No,Local,B,4,0.75212818,0.106584403,15
43,No,Local,E,35,0.632634207,,1
44,No,Local,E,11,0.552262648,0.341474501,2
45,No,Local,B,5,0.649112481,0.152112292,8
46,No,Local,R,1,1,0,9
47,No,Local,E,2,1,0,2
48,,Local,R,2,1,,1
49,DP,Local,E,5,0.624755191,0.076328251,2
50,DP,Local,E,12,0.496195722,,1
51,DP,Local,E,7,0.607883011,,1
52,DP,Local,E,3,0.905054422,,1
53,DP,Local,O,10,0.580831613,,1
54,DP,Local,R,9,0.910540282,0.081723218,3
55,DP,Local,R,2,1,0,4
56,DP,Local,R,6,0.971797639,0.017182649,8
57,DP,Local,R,7,0.947135773,0.014315481,5
58,DP,Local,R,12,0.950574433,0.001247266,2
59,DP,Local,R,4,0.988315598,0.005343233,6
60,DP,Local,R,13,0.93434687,,1
61,DP,Local,R,8,0.964829308,0.012403572,7
62,DP,Local,R,3,0.984330145,0.008400414,4
63,DP,Local,R,5,0.979015514,0.010930099,4
64,DP,Local,R,15,0.954557921,,1
65,DP,Local,R,11,0.964551922,,1
66,DP,Local,E,13,0.396013778,,1
67,DP,Local,O,3,0.90144106,,1
68,RP,Local,E,2,1,0,2
69,RP,Local,E,4,0.754446068,,1
70,RP,Local,R,2,1,0,5
71,RP,Local,R,5,0.848405461,,1
72,No,Local,E,16,0.587766281,0.060804215,2
73,Yes,Local,R,5,0.245023525,,1
74,Yes,Local,O,3,0.936369432,,1
75,Yes,Local,O,6,0.672685999,,1
76,Yes,Local,E,4,0.762173482,,1
77,No,Local,B,11,0.153820598,,1
78,No,Local,B,29,0.555449836,,1
79,No,Local,B,6,0.709427084,0.090989231,5
80,No,Local,B,14,0.674003753,0.122413799,2
81,No,Local,B,22,0.464691496,,1
82,No,Local,B,13,0.533606463,,1
83,No,Local,B,8,0.661946868,0.082120557,4
84,No,Local,B,21,0.57214463,,1
85,No,Local,E,6,0.5530757,0.170442888,2
86,No,Local,O,3,0.795910729,,1
87,No,Local,B,9,0.619076508,0.08228891,4
88,No,Local,O,4,0.752389015,0.066218726,5
89,No,Local,E,12,0.798085158,,1
90,No,Local,O,5,0.739415233,,1
91,No,Local,B,10,0.600603851,,1
92,No,Local,E,5,0.330785234,,1
93,,Federal,E,9,0.656057561,,1
