rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18
"Simmons, Denise","Decker, Marjorie C.","Murphy, Brian","Kelley, Craig A.","Seidel, Sam","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Kelley, Craig A.","Murphy, Brian","Simmons, Denise","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Kelley, Craig A.","Davis, Henrietta","Murphy, Brian","Simmons, Denise","Maher, David P.","Galluccio, Anthony D.","Decker, Marjorie C.","Sullivan, Michael A.","Reeves, Kenneth E.","Gordon, Jesse A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Michael A.","Davis, Henrietta","Simmons, Denise","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Simmons, Denise","Seidel, Sam","Murphy, Brian","Gordon, Jesse A.","Kelley, Craig A.","Reeves, Kenneth E.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Decker, Marjorie C.","Sullivan, Michael A.","Davis, Henrietta","Galluccio, Anthony D.","Seidel, Sam","Hees, Bill",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Kelley, Craig A.","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Kelley, Craig A.","Galluccio, Anthony D.","Sullivan, Michael A.","Davis, Henrietta","Decker, Marjorie C.","Maher, David P.","Murphy, Brian","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Reeves, Kenneth E.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Decker, Marjorie C.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Maher, David P.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Davis, Henrietta","Kelley, Craig A.","Gordon, Jesse A.","Maher, David P.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Galluccio, Anthony D.","Sullivan, Michael A.","Seidel, Sam","Simmons, Denise","LaTremouille, Robert J.","Adkins, Lawrence J.","Green, Andre Lerone","Condit, James E., III","Reeves, Kenneth E.","Hall, Robert Lee, Sr.",skipped
"Seidel, Sam","Gordon, Jesse A.","Simmons, Denise","Adkins, Lawrence J.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Gordon, Jesse A.","Seidel, Sam","Adkins, Lawrence J.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, Denise","Adkins, Lawrence J.","Decker, Marjorie C.","Murphy, Brian","Seidel, Sam","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, Denise","Decker, Marjorie C.","Adkins, Lawrence J.","Murphy, Brian","Seidel, Sam","Reeves, Kenneth E.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Sullivan, Michael A.","Galluccio, Anthony D.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Maher, David P.","Galluccio, Anthony D.","Sullivan, Michael A.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Simmons, Denise","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Decker, Marjorie C.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Sullivan, Michael A.","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Davis, Henrietta","Seidel, Sam","Gordon, Jesse A.","Murphy, Brian","Kelley, Craig A.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Decker, Marjorie C.","Sullivan, Michael A.","Reeves, Kenneth E.","Davis, Henrietta","Kelley, Craig A.","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Seidel, Sam","Adkins, Lawrence J.","Gordon, Jesse A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Galluccio, Anthony D.","Davis, Henrietta","Maher, David P.","Simmons, Denise","Sullivan, Michael A.","Murphy, Brian","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Sullivan, Michael A.","Adkins, Lawrence J.","Toomey, Timothy J., Jr.","Davis, Henrietta","Condit, James E., III","Decker, Marjorie C.","Gordon, Jesse A.","Galluccio, Anthony D.","Green, Andre Lerone","Hees, Bill","Hall, Robert Lee, Sr.","Kelley, Craig A.","LaTremouille, Robert J.","Maher, David P.","Murphy, Brian","Reeves, Kenneth E.","Simmons, Denise"
"Sullivan, Michael A.","Kelley, Craig A.","Decker, Marjorie C.","LaTremouille, Robert J.","Maher, David P.","Seidel, Sam","Davis, Henrietta","Galluccio, Anthony D.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,"Hees, Bill",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Reeves, Kenneth E.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Adkins, Lawrence J.","Simmons, Denise","Reeves, Kenneth E.","Green, Andre Lerone",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Davis, Henrietta","Maher, David P.","Simmons, Denise","Toomey, Timothy J., Jr.","Sullivan, Michael A.","LaTremouille, Robert J.","Galluccio, Anthony D.","Decker, Marjorie C.","Seidel, Sam","Murphy, Brian","Hall, Robert Lee, Sr.","Gordon, Jesse A.","Green, Andre Lerone","Hees, Bill","Kelley, Craig A.","Adkins, Lawrence J.","Condit, James E., III"
"Seidel, Sam","Decker, Marjorie C.","Adkins, Lawrence J.","Gordon, Jesse A.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Simmons, Denise","Murphy, Brian","Maher, David P.","Sullivan, Michael A.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Seidel, Sam","Murphy, Brian","Gordon, Jesse A.","Decker, Marjorie C.","Simmons, Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
