rank1,rank2,rank3,rank4
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Larry Edwards
Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Mary Hall-Rayford,Harvey Curley,skipped,skipped
Larry Edwards,Harvey Curley,Sarah A. Lucido,skipped
overvote,skipped,skipped,skipped
Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford,Mary Hall-Rayford
Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley,Mary Hall-Rayford
Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
Mary Hall-Rayford,Larry Edwards,Harvey Curley,skipped
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido,Larry Edwards
Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley
skipped,skipped,skipped,skipped
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,writein
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards,Harvey Curley
Mary Hall-Rayford,skipped,skipped,skipped
Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford,Harvey Curley
Mary Hall-Rayford,skipped,skipped,skipped
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
Larry Edwards,skipped,skipped,skipped
Sarah A. Lucido,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford
Mary Hall-Rayford,Harvey Curley,Larry Edwards,Sarah A. Lucido
Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
Mary Hall-Rayford,Larry Edwards,Harvey Curley,Sarah A. Lucido
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Larry Edwards,Sarah A. Lucido,Mary Hall-Rayford,Harvey Curley
Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Larry Edwards,skipped,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
skipped,skipped,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
Mary Hall-Rayford,skipped,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,skipped,skipped
Mary Hall-Rayford,Sarah A. Lucido,Larry Edwards,Harvey Curley
