precinct,rank1,rank2,rank3
06-03,writein,skipped,skipped
02-01,writein,writein,writein
06-01,writein,skipped,skipped
13-03,writein,skipped,skipped
12-10,writein,writein,writein
12-02,writein,skipped,skipped
12-08,writein,skipped,skipped
01-10,writein,writein,writein
06-04,writein,skipped,skipped
04-06,writein,skipped,skipped
13-09,writein,writein,writein
09-09,Carol Becker,writein,James Elliot Swartwood
01-09,Carol Becker,writein,writein
11-05,Carol Becker,writein,writein
12-03,Carol Becker,writein,skipped
13-06,Carol Becker,writein,skipped
13-02,Carol Becker,writein,writein
06-02,Carol Becker,writein,skipped
05-08,Carol Becker,writein,DeWayne Townsend
06-04,Carol Becker,writein,skipped
06-03,Carol Becker,writein,skipped
13-02,Carol Becker,writein,writein
11-02,Carol Becker,writein,skipped
13-02,Carol Becker,writein,skipped
03-04,Carol Becker,writein,writein
09-04,Carol Becker,writein,writein
11-05,Carol Becker,writein,writein
09-02,Carol Becker,writein,skipped
01-05,Carol Becker,writein,writein
13-08,Carol Becker,writein,skipped
01-08,Carol Becker,writein,skipped
13-06,Carol Becker,writein,writein
08-08,Carol Becker,writein,writein
01-01,Carol Becker,writein,writein
11-01,Carol Becker,R. Michael Martens,writein
05-08,Carol Becker,R. Michael Martens,writein
05-02,Carol Becker,R. Michael Martens,writein
02-02,Carol Becker,R. Michael Martens,writein
12-08,Carol Becker,R. Michael Martens,writein
09-07,Carol Becker,R. Michael Martens,writein
01-02,Carol Becker,R. Michael Martens,James Elliot Swartwood
01-03,Carol Becker,R. Michael Martens,James Elliot Swartwood
01-04,Carol Becker,R. Michael Martens,James Elliot Swartwood
01-04,Carol Becker,R. Michael Martens,James Elliot Swartwood
01-04,Carol Becker,R. Michael Martens,James Elliot Swartwood
01-09,Carol Becker,R. Michael Martens,James Elliot Swartwood
01-09,Carol Becker,R. Michael Martens,James Elliot Swartwood
02-05,Carol Becker,R. Michael Martens,James Elliot Swartwood
02-07,Carol Becker,R. Michael Martens,James Elliot Swartwood
