precinct,rank1,rank2,rank3
12-02,writein,skipped,skipped
13-03,writein,writein,writein
08-05,Mary Merrill Anderson,writein,skipped
01-09,Mary Merrill Anderson,Nancy Bernard,John Butler
02-03,Mary Merrill Anderson,Nancy Bernard,John Butler
04-03,Mary Merrill Anderson,Nancy Bernard,John Butler
04-03,Mary Merrill Anderson,Nancy Bernard,John Butler
05-01,Mary Merrill Anderson,Nancy Bernard,John Butler
05-01,Mary Merrill Anderson,Nancy Bernard,John Butler
05-03,Mary Merrill Anderson,Nancy Bernard,John Butler
05-05,Mary Merrill Anderson,Nancy Bernard,John Butler
05-06,Mary Merrill Anderson,Nancy Bernard,John Butler
05-10,Mary Merrill Anderson,Nancy Bernard,John Butler
06-04,Mary Merrill Anderson,Nancy Bernard,John Butler
07-06,Mary Merrill Anderson,Nancy Bernard,John Butler
07-06,Mary Merrill Anderson,Nancy Bernard,John Butler
09-08,Mary Merrill Anderson,Nancy Bernard,John Butler
10-04,Mary Merrill Anderson,Nancy Bernard,John Butler
10-05,Mary Merrill Anderson,Nancy Bernard,John Butler
10-10,Mary Merrill Anderson,Nancy Bernard,John Butler
12-06,Mary Merrill Anderson,Nancy Bernard,John Butler
12-09,Mary Merrill Anderson,Nancy Bernard,John Butler
13-05,Mary Merrill Anderson,Nancy Bernard,John Butler
13-06,Mary Merrill Anderson,Nancy Bernard,John Butler
01-07,Mary Merrill Anderson,Nancy Bernard,John Erwin
03-01,Mary Merrill Anderson,Nancy Bernard,John Erwin
03-07,Mary Merrill Anderson,Nancy Bernard,John Erwin
04-01,Mary Merrill Anderson,Nancy Bernard,John Erwin
05-01,Mary Merrill Anderson,Nancy Bernard,John Erwin
05-04,Mary Merrill Anderson,Nancy Bernard,John Erwin
05-05,Mary Merrill Anderson,Nancy Bernard,John Erwin
05-08,Mary Merrill Anderson,Nancy Bernard,John Erwin
06-02,Mary Merrill Anderson,Nancy Bernard,John Erwin
06-04,Mary Merrill Anderson,Nancy Bernard,John Erwin
07-07,Mary Merrill Anderson,Nancy Bernard,John Erwin
07-08,Mary Merrill Anderson,Nancy Bernard,John Erwin
07-08,Mary Merrill Anderson,Nancy Bernard,John Erwin
09-10,Mary Merrill Anderson,Nancy Bernard,John Erwin
11-04,Mary Merrill Anderson,Nancy Bernard,John Erwin
11-06,Mary Merrill Anderson,Nancy Bernard,John Erwin
13-08,Mary Merrill Anderson,Nancy Bernard,John Erwin
01-02,Mary Merrill Anderson,Nancy Bernard,Bob Fine
01-06,Mary Merrill Anderson,Nancy Bernard,Bob Fine
01-07,Mary Merrill Anderson,Nancy Bernard,Bob Fine
04-09,Mary Merrill Anderson,Nancy Bernard,Bob Fine
05-01,Mary Merrill Anderson,Nancy Bernard,Bob Fine
05-01,Mary Merrill Anderson,Nancy Bernard,Bob Fine
05-03,Mary Merrill Anderson,Nancy Bernard,Bob Fine
05-03,Mary Merrill Anderson,Nancy Bernard,Bob Fine
05-04,Mary Merrill Anderson,Nancy Bernard,Bob Fine
05-05,Mary Merrill Anderson,Nancy Bernard,Bob Fine
07-02,Mary Merrill Anderson,Nancy Bernard,Bob Fine
07-08,Mary Merrill Anderson,Nancy Bernard,Bob Fine
07-10,Mary Merrill Anderson,Nancy Bernard,Bob Fine
07-10,Mary Merrill Anderson,Nancy Bernard,Bob Fine
08-02,Mary Merrill Anderson,Nancy Bernard,Bob Fine
08-02,Mary Merrill Anderson,Nancy Bernard,Bob Fine
08-05,Mary Merrill Anderson,Nancy Bernard,Bob Fine
08-10,Mary Merrill Anderson,Nancy Bernard,Bob Fine
09-02,Mary Merrill Anderson,Nancy Bernard,Bob Fine
09-05,Mary Merrill Anderson,Nancy Bernard,Bob Fine
11-02,Mary Merrill Anderson,Nancy Bernard,Bob Fine
11-06,Mary Merrill Anderson,Nancy Bernard,Bob Fine
12-03,Mary Merrill Anderson,Nancy Bernard,Bob Fine
12-04,Mary Merrill Anderson,Nancy Bernard,Bob Fine
12-05,Mary Merrill Anderson,Nancy Bernard,Bob Fine
12-10,Mary Merrill Anderson,Nancy Bernard,Bob Fine
01-03,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
01-09,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
02-01,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
02-02,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
02-05,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
03-07,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
04-03,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
05-01,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
05-04,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
05-10,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
06-08,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
07-07,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
07-08,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
08-05,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
08-10,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
09-07,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
12-01,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
12-08,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
13-01,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
13-01,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
13-01,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
13-08,Mary Merrill Anderson,Nancy Bernard,Tom Nordyke
01-02,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
01-08,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
03-03,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
03-04,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
05-01,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
05-01,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
05-06,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
06-07,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
08-01,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
10-06,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
10-08,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
12-01,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
12-04,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
13-04,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
13-06,Mary Merrill Anderson,Nancy Bernard,David Wahstedt
01-01,Mary Merrill Anderson,Nancy Bernard,skipped
01-03,Mary Merrill Anderson,Nancy Bernard,skipped
01-09,Mary Merrill Anderson,Nancy Bernard,skipped
02-05,Mary Merrill Anderson,Nancy Bernard,skipped
03-05,Mary Merrill Anderson,Nancy Bernard,skipped
04-04,Mary Merrill Anderson,Nancy Bernard,skipped
04-05,Mary Merrill Anderson,Nancy Bernard,skipped
04-07,Mary Merrill Anderson,Nancy Bernard,skipped
04-08,Mary Merrill Anderson,Nancy Bernard,skipped
04-08,Mary Merrill Anderson,Nancy Bernard,skipped
04-09,Mary Merrill Anderson,Nancy Bernard,skipped
04-10,Mary Merrill Anderson,Nancy Bernard,skipped
05-01,Mary Merrill Anderson,Nancy Bernard,skipped
05-04,Mary Merrill Anderson,Nancy Bernard,skipped
05-07,Mary Merrill Anderson,Nancy Bernard,skipped
05-08,Mary Merrill Anderson,Nancy Bernard,skipped
05-08,Mary Merrill Anderson,Nancy Bernard,skipped
06-02,Mary Merrill Anderson,Nancy Bernard,skipped
06-06,Mary Merrill Anderson,Nancy Bernard,skipped
06-07,Mary Merrill Anderson,Nancy Bernard,skipped
06-08,Mary Merrill Anderson,Nancy Bernard,skipped
07-01,Mary Merrill Anderson,Nancy Bernard,skipped
07-06,Mary Merrill Anderson,Nancy Bernard,skipped
08-02,Mary Merrill Anderson,Nancy Bernard,skipped
08-08,Mary Merrill Anderson,Nancy Bernard,skipped
09-02,Mary Merrill Anderson,Nancy Bernard,skipped
09-07,Mary Merrill Anderson,Nancy Bernard,skipped
10-04,Mary Merrill Anderson,Nancy Bernard,skipped
10-09,Mary Merrill Anderson,Nancy Bernard,skipped
11-01,Mary Merrill Anderson,Nancy Bernard,skipped
11-06,Mary Merrill Anderson,Nancy Bernard,skipped
11-09,Mary Merrill Anderson,Nancy Bernard,skipped
12-11,Mary Merrill Anderson,Nancy Bernard,skipped
13-08,Mary Merrill Anderson,Nancy Bernard,skipped
13-09,Mary Merrill Anderson,Nancy Bernard,skipped
01-01,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-07,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
01-09,Mary Merrill Anderson,Nancy Bernard,Annie Young
02-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
02-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
02-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
02-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
02-09,Mary Merrill Anderson,Nancy Bernard,Annie Young
03-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
03-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
03-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
03-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
03-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
