precincts,tally_type,ballotID,rank1,rank2,rank3
25-101,Absentee Voting,000076977,Al Rose,Joyce McDonald,skipped
25-101,Absentee Voting,000076978,Joyce McDonald,skipped,skipped
25-101,Absentee Voting,000076979,Carolyn Merrival,Al Rose,Joyce McDonald
25-101,Absentee Voting,000076980,Al Rose,Carolyn Merrival,Joyce McDonald
25-101,Absentee Voting,000076981,Joyce McDonald,skipped,skipped
25-101,Absentee Voting,000076982,Al Rose,Carolyn Merrival,Joyce McDonald
25-101,Absentee Voting,000076983,Carolyn Merrival,Al Rose,Joyce McDonald
25-101,Absentee Voting,000076984,Joyce McDonald,skipped,skipped
25-101,Absentee Voting,000076985,skipped,skipped,skipped
25-101,Absentee Voting,000076986,Al Rose,Carolyn Merrival,Joyce McDonald
25-101,Absentee Voting,000076987,Joyce McDonald,writein,skipped
25-101,Absentee Voting,000076988,Joyce McDonald,skipped,skipped
25-101,Absentee Voting,000076989,Joyce McDonald,skipped,skipped
25-101,Absentee Voting,000076990,Joyce McDonald,Al Rose,Carolyn Merrival
25-101,Absentee Voting,000076991,Al Rose,Carolyn Merrival,Joyce McDonald
25-101,Absentee Voting,000076992,Joyce McDonald,skipped,skipped
25-101,Absentee Voting,000076993,skipped,skipped,skipped
25-101,Absentee Voting,000076994,Joyce McDonald,Al Rose,skipped
25-101,Absentee Voting,000076995,Al Rose,skipped,skipped
25-101,Absentee Voting,000076996,Joyce McDonald,skipped,skipped
25-101,Absentee Voting,000076997,Joyce McDonald,skipped,skipped
25-101,Absentee Voting,000076998,Carolyn Merrival,Al Rose,skipped
25-101,Absentee Voting,000076999,Carolyn Merrival,Joyce McDonald,Al Rose
25-101,Absentee Voting,000077000,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077001,Joyce McDonald,Al Rose,skipped
25-102,Absentee Voting,000077002,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077003,Al Rose,Carolyn Merrival,skipped
25-102,Absentee Voting,000077004,skipped,skipped,skipped
25-102,Absentee Voting,000077005,Carolyn Merrival,skipped,skipped
25-102,Absentee Voting,000077006,Joyce McDonald,skipped,skipped
25-102,Absentee Voting,000077007,Al Rose,skipped,skipped
25-102,Absentee Voting,000077008,Al Rose,Carolyn Merrival,Joyce McDonald
25-102,Absentee Voting,000077009,Al Rose,Carolyn Merrival,Joyce McDonald
